self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.917721,0.059154,0.129966,0.33,0.053042,0.04
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.802757,0.202868,0.154995,0.28,0.066459,0.05
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.942681,0.06961,0.188203,0.29,0.121023,0.1
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.907378,0.038862,0.128238,0.23,0.074078,0.04
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.649972,0.255976,0.24933,0.32,0.023388,0.01
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.782802,0.215015,0.125239,0.17,0.052525,0.03
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.856235,0.08161,0.087096,0.1,0.049857,0.02
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.841572,0.307859,0.163393,0.35,0.063234,0.05
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.910032,0.102408,0.088128,0.16,0.065886,0.04
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.826483,0.267783,0.142227,0.27,0.080876,0.07
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_Supermarket_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.527594,0.449296,0.310949,0.83,0.214702,0.2
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_Supermarket_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.836745,0.247666,0.138028,0.26,0.111394,0.15
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_Supermarket_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.568812,0.128721,0.077042,0.1,0.038958,0.01
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_Supermarket_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.58413,0.319483,0.119009,0.15,0.06444,0.06
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_Supermarket_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.483347,0.165871,0.189897,0.59,0.092791,0.07
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_Supermarket_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.852139,0.035657,0.121015,0.17,0.10771,0.08
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_Supermarket_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.632392,0.295985,0.191993,0.39,0.056652,0.05
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_Supermarket_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.635069,0.256305,0.087694,0.15,0.031422,0.02
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_adg_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.873585,0.212259,0.079409,0.4,0.061039,0.05
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_adg_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.777685,0.283619,0.171462,0.41,0.067071,0.07
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_adg_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.822037,0.137663,0.09835,0.19,0.075151,0.06
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_adg_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.615286,0.073136,0.086504,0.06,0.054197,0.01
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_adg_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.67299,0.15838,0.140306,0.18,0.035341,0.01
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_adg_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.699707,0.010876,0.028111,0.01,0.061683,0.01
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_adg_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.753227,0.213909,0.181797,0.22,0.034938,0.02
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_adg_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.769459,0.120558,0.130984,0.19,0.058198,0.03
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_adg_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.800467,0.056001,0.063112,0.04,0.060802,0.03
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_thompson_employment_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.840849,0.227572,0.230651,0.62,0.043491,0.01
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_thompson_employment_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.68963,0.351895,0.228872,0.44,0.050514,0.05
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_thompson_employment_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.934215,0.170371,0.120561,0.16,0.106655,0.09
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_thompson_employment_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.86345,0.080489,0.141845,0.13,0.045661,0.01
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_thompson_employment_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.643356,0.339384,0.18822,0.31,0.051839,0.04
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_thompson_employment_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.725143,0.219393,0.101029,0.2,0.034865,0.02
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_thompson_employment_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.977928,0.037085,0.174965,0.16,0.098638,0.07
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_thompson_employment_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.721185,0.225952,0.10301,0.2,0.032027,0.02
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_thompson_employment_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.787694,0.188147,0.18482,0.21,0.026636,0.01
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_travel_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.91469,0.272124,0.129202,0.65,0.06782,0.06
BDI_Negotiatior_V3,AspirationNegotiator,scenarios_etc_specials_travel_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.579318,0.181359,0.119131,0.22,0.073755,0.07
BDI_Negotiatior_V2,AspirationNegotiator,scenarios_etc_specials_travel_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.676277,0.306519,0.137179,0.28,0.049062,0.04
