self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.914811,0.130049,0.076632,0.23,0.079065,0.08
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.754481,0.108426,0.051455,0.23,0.070371,0.06
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.971885,0.058767,0.057987,0.05,0.053352,0.05
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.827003,0.033676,0.01031,0.0,0.034607,0.01
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.547141,0.183098,0.140481,0.12,0.021092,0.02
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.627854,0.043944,0.033346,0.01,0.03596,0.01
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.760743,0.049336,0.009216,0.0,0.039053,0.02
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.674011,0.125987,0.041609,0.12,0.068117,0.07
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.847734,0.05954,0.034052,0.04,0.063924,0.06
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.589563,0.086707,0.110864,0.21,0.07421,0.07
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_Supermarket_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.080452,0.215571,0.211881,0.45,0.253787,0.27
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_Supermarket_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.923882,0.321999,0.126267,0.31,0.115695,0.12
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_Supermarket_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.566331,0.058757,0.07015,0.11,0.073734,0.07
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_Supermarket_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.348507,0.125813,0.162164,0.19,0.08735,0.08
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_Supermarket_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.469214,0.142702,0.163916,0.39,0.144781,0.14
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_Supermarket_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.796879,0.022875,0.104198,0.16,0.06223,0.05
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_Supermarket_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.141533,0.104405,0.197986,0.37,0.134161,0.13
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_Supermarket_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.420986,0.128304,0.105271,0.15,0.049452,0.04
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_adg_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.740734,0.015163,0.090445,0.19,0.045666,0.04
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_adg_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.43007,0.131274,0.15043,0.6,0.16867,0.17
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_adg_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.52723,0.071978,0.110499,0.24,0.051834,0.04
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_adg_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.589897,0.082459,0.107873,0.11,0.057957,0.04
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_adg_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.749045,0.302447,0.194921,0.28,0.14129,0.14
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_adg_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.672269,0.009487,0.027383,0.01,0.045734,0.01
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_adg_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.727168,0.085073,0.256388,0.37,0.096283,0.09
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_adg_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.704021,0.061425,0.089273,0.09,0.132432,0.13
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_adg_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.760448,0.027988,0.056841,0.04,0.043244,0.02
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_thompson_employment_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.595077,0.029003,0.024449,0.02,0.042232,0.02
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_thompson_employment_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.330108,0.163771,0.164111,0.41,0.071147,0.07
BDI_Negotiatior_V3,Atlas3,scenarios_etc_specials_thompson_employment_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.903825,0.090373,0.130766,0.24,0.055355,0.04
BDI_Negotiatior_V2,Atlas3,scenarios_etc_specials_thompson_employment_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.752955,0.018086,0.243522,0.24,0.043184,0.03
