self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.917677,0.060208,0.129061,0.32,0.050961,0.04
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.801909,0.201226,0.154452,0.28,0.066681,0.05
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.949221,0.074232,0.187553,0.29,0.121627,0.1
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.907202,0.038814,0.127557,0.23,0.074021,0.04
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.650487,0.247466,0.247553,0.32,0.023749,0.01
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.782629,0.211388,0.12376,0.17,0.05099,0.03
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.855756,0.081064,0.087004,0.1,0.049872,0.02
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.841449,0.31065,0.163604,0.34,0.058395,0.05
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.877431,0.102299,0.087722,0.16,0.06623,0.04
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.828581,0.266756,0.138866,0.26,0.080193,0.07
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.567885,0.438621,0.234067,0.54,0.197427,0.18
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.832906,0.248741,0.138629,0.25,0.118583,0.17
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.579716,0.143569,0.089965,0.13,0.057325,0.04
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.571151,0.35068,0.166533,0.2,0.073557,0.08
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.489428,0.274468,0.161382,0.34,0.110619,0.09
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.850062,0.035389,0.121496,0.17,0.107786,0.08
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.668496,0.397373,0.198131,0.42,0.090345,0.09
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.638221,0.254962,0.089743,0.15,0.030833,0.01
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_adg_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.871071,0.185184,0.07659,0.37,0.057723,0.04
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_adg_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.775133,0.282515,0.169028,0.4,0.059873,0.06
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_adg_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.824933,0.253906,0.100504,0.21,0.083806,0.07
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_adg_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.612938,0.069908,0.083535,0.06,0.053307,0.01
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_adg_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.670893,0.151714,0.139937,0.18,0.034851,0.01
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_adg_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.699374,0.010854,0.027862,0.01,0.061251,0.01
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_adg_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.764978,0.227582,0.178553,0.21,0.036992,0.02
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_adg_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.769663,0.11994,0.128869,0.18,0.054375,0.03
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_adg_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.800009,0.055684,0.062876,0.04,0.060865,0.03
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.840824,0.229704,0.224423,0.59,0.043784,0.01
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.688279,0.350765,0.228095,0.43,0.050936,0.04
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.933533,0.163145,0.118348,0.16,0.101394,0.08
BDI_Negotiatior_V2,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.870464,0.080267,0.143368,0.13,0.04639,0.02
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.638733,0.342497,0.184048,0.3,0.047945,0.04
BDI_Negotiatior_V3,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.724111,0.227889,0.10028,0.2,0.033302,0.02
