self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V3,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.78912,0.122189,0.00277,0.0,0.019097,0.0
BDI_Negotiatior_V3,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.653517,0.076896,0.004941,0.0,0.009909,0.0
BDI_Negotiatior_V2,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.855276,0.095147,0.000857,0.0,0.009898,0.0
BDI_Negotiatior_V3,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.819795,0.02592,0.003618,0.0,0.029622,0.0
BDI_Negotiatior_V2,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.56867,0.30006,0.002575,0.0,0.004999,0.0
BDI_Negotiatior_V3,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.643232,0.049515,0.00357,0.0,0.03484,0.0
BDI_Negotiatior_V2,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.743535,0.057108,0.001161,0.0,0.034436,0.0
BDI_Negotiatior_V2,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.647181,0.1049,0.006652,0.0,0.012465,0.0
BDI_Negotiatior_V3,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.784708,0.075911,0.00415,0.0,0.022389,0.0
BDI_Negotiatior_V3,CUHKAgent,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.756283,0.053854,0.031372,0.02,0.03599,0.02
BDI_Negotiatior_V2,CUHKAgent,scenarios_etc_specials_Supermarket_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.102934,0.157728,0.105345,0.18,0.484385,0.5
BDI_Negotiatior_V2,CUHKAgent,scenarios_etc_specials_Supermarket_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.647282,0.103503,0.036115,0.05,0.048714,0.04
BDI_Negotiatior_V3,CUHKAgent,scenarios_etc_specials_Supermarket_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.507052,0.081042,0.042789,0.03,0.083879,0.08
BDI_Negotiatior_V2,CUHKAgent,scenarios_etc_specials_Supermarket_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.488336,0.030715,0.034154,0.01,0.051466,0.03
BDI_Negotiatior_V3,CUHKAgent,scenarios_etc_specials_Supermarket_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.391135,0.026005,0.076562,0.05,0.047409,0.02
BDI_Negotiatior_V3,CUHKAgent,scenarios_etc_specials_Supermarket_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.830519,0.023604,0.101166,0.17,0.046073,0.03
BDI_Negotiatior_V2,CUHKAgent,scenarios_etc_specials_Supermarket_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.438897,0.048302,0.027645,0.02,0.058992,0.05
BDI_Negotiatior_V3,CUHKAgent,scenarios_etc_specials_Supermarket_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.506646,0.09563,0.048775,0.04,0.123612,0.13
BDI_Negotiatior_V3,CUHKAgent,scenarios_etc_specials_adg_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.763174,0.022223,0.03542,0.03,0.042249,0.03
BDI_Negotiatior_V2,CUHKAgent,scenarios_etc_specials_adg_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.548196,0.057731,0.032836,0.15,0.085995,0.08
BDI_Negotiatior_V2,CUHKAgent,scenarios_etc_specials_adg_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.654374,0.019952,0.021659,0.01,0.0488,0.04
BDI_Negotiatior_V2,CUHKAgent,scenarios_etc_specials_adg_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.562796,0.01581,0.0355,0.01,0.121921,0.06
BDI_Negotiatior_V3,CUHKAgent,scenarios_etc_specials_adg_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.605447,0.081471,0.076484,0.1,0.107286,0.1
