self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V2,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.858241,0.174953,0.24094,0.99,0.181897,0.2
BDI_Negotiatior_V2,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.513021,0.270011,0.20602,1.01,0.142789,0.21
BDI_Negotiatior_V2,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.617486,0.140761,0.139094,0.34,0.25983,0.46
BDI_Negotiatior_V2,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.872477,0.349162,0.200578,0.49,0.228922,0.29
BDI_Negotiatior_V2,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.505372,0.403174,0.193846,0.55,0.258198,0.35
BDI_Negotiatior_V2,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.482722,0.093932,0.070672,0.05,0.257397,0.27
BDI_Negotiatior_V2,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.724342,0.368634,0.148511,0.31,0.251733,0.36
BDI_Negotiatior_V2,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.733426,0.425458,0.159886,0.43,0.279842,0.4
BDI_Negotiatior_V3,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.676371,0.233393,0.210024,0.69,0.154143,0.2
BDI_Negotiatior_V2,ConcederTBNegotiator,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.764014,0.493458,0.139872,0.39,0.070604,0.08
