self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.815159,0.104698,0.018324,0.01,0.018586,0.0
BDI_Negotiatior_V2,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.715045,0.093171,0.07133,0.08,0.062762,0.03
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.953542,0.057,0.084844,0.12,0.094752,0.04
BDI_Negotiatior_V2,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.868773,0.032594,0.091011,0.1,0.047346,0.01
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.568927,0.289426,0.007321,0.0,0.00484,0.0
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.65213,0.050302,0.005623,0.0,0.035846,0.0
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.743767,0.051448,0.002974,0.0,0.035127,0.0
BDI_Negotiatior_V2,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.668267,0.134147,0.018245,0.01,0.02191,0.0
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.827141,0.072912,0.040476,0.04,0.051781,0.02
BDI_Negotiatior_V2,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.833858,0.184853,0.082,0.12,0.898243,0.86
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.396114,0.13371,0.074295,0.55,0.489137,0.47
BDI_Negotiatior_V2,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.70929,0.075435,0.063098,0.08,0.111937,0.08
BDI_Negotiatior_V2,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.55409,0.107888,0.060995,0.08,0.057144,0.04
BDI_Negotiatior_V2,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.492822,0.100699,0.089638,0.07,0.087891,0.04
BDI_Negotiatior_V2,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.49115,0.24507,0.195971,0.32,0.108578,0.09
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.914409,0.017356,0.073546,0.07,0.06647,0.02
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.505373,0.109283,0.093186,0.13,0.073974,0.04
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.547172,0.190171,0.067334,0.08,0.02963,0.02
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_adg_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.770235,0.068428,0.013323,0.01,0.029798,0.0
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_adg_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.635136,0.094869,0.081029,0.11,0.063078,0.03
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_adg_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.756896,0.063911,0.047983,0.05,0.070799,0.03
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_adg_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.547395,0.012654,0.02879,0.02,0.160826,0.14
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_adg_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.624223,0.140767,0.075748,0.06,0.037517,0.01
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_adg_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.731953,0.018961,0.044349,0.04,0.063589,0.04
BDI_Negotiatior_V2,MetaAgent2013,scenarios_etc_specials_adg_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.671362,0.154473,0.028779,0.01,0.02803,0.0
BDI_Negotiatior_V3,MetaAgent2013,scenarios_etc_specials_adg_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.69331,0.067632,0.063047,0.04,0.044491,0.01
BDI_Negotiatior_V2,MetaAgent2013,scenarios_etc_specials_adg_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.760476,0.025667,0.017603,0.0,0.052594,0.04
BDI_Negotiatior_V2,MetaAgent2013,scenarios_etc_specials_thompson_employment_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.735039,0.036288,0.051811,0.03,0.040015,0.03
