self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.919701,0.156026,0.152949,0.42,0.154683,0.13
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.917148,0.274364,0.134954,0.35,0.252235,0.27
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.984302,0.225219,0.162614,0.88,0.157026,0.14
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.91684,0.068748,0.204519,0.66,0.169892,0.15
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.674003,0.282076,0.218642,0.61,0.227847,0.23
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.742882,0.14271,0.178532,0.3,0.222038,0.18
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.807497,0.11491,0.109831,0.14,0.277482,0.26
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.824254,0.294782,0.193451,0.78,0.236105,0.25
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.92288,0.153654,0.138544,0.28,0.20674,0.22
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.839137,0.147087,0.10267,0.23,0.104465,0.1
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_Supermarket_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.450754,0.304388,0.120846,0.51,0.270344,0.25
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_Supermarket_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.802074,0.133895,0.080924,0.32,0.169227,0.18
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_Supermarket_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.594764,0.25432,0.089049,0.15,0.164834,0.17
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_Supermarket_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.615247,0.223846,0.081292,0.1,0.140247,0.13
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_Supermarket_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.503591,0.327245,0.176413,0.57,0.2517,0.26
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_Supermarket_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.954256,0.066178,0.16613,0.56,0.066123,0.06
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_Supermarket_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.639442,0.302462,0.040813,0.32,0.195792,0.2
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_Supermarket_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.599893,0.271714,0.088759,0.21,0.1109,0.11
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_adg_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.869664,0.295348,0.101654,0.65,0.111701,0.12
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_adg_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.73641,0.344492,0.06664,0.45,0.214414,0.22
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_adg_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.786828,0.273667,0.07242,0.13,0.135906,0.14
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_adg_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.639713,0.168446,0.096532,0.1,0.148831,0.11
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_adg_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.729029,0.320172,0.192779,0.26,0.188254,0.2
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_adg_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.743226,0.019827,0.096178,0.08,0.366539,0.21
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_adg_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.703016,0.260123,0.149505,0.34,0.14199,0.14
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_adg_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.768219,0.290078,0.159751,0.28,0.180636,0.19
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_adg_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.887488,0.10004,0.116869,0.15,0.101157,0.08
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_thompson_employment_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.811864,0.193505,0.140099,0.29,0.13881,0.13
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_thompson_employment_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.799298,0.39774,0.181683,0.5,0.264113,0.29
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_thompson_employment_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.899902,0.193396,0.110173,0.2,0.095251,0.09
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_thompson_employment_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.882484,0.146162,0.154852,0.26,0.119861,0.08
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_thompson_employment_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.756896,0.484907,0.161541,0.38,0.321049,0.33
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_thompson_employment_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.790733,0.437353,0.191657,0.59,0.299963,0.31
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_thompson_employment_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.984924,0.185095,0.16694,0.38,0.098646,0.08
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_thompson_employment_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.769449,0.385339,0.13012,0.49,0.193411,0.2
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_thompson_employment_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.742032,0.216652,0.221846,0.4,0.136826,0.14
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_travel_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.90777,0.1936,0.144095,0.66,0.181153,0.18
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_travel_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.628484,0.128254,0.026419,0.09,0.108049,0.1
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_travel_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.68985,0.239183,0.074356,0.38,0.117215,0.12
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_travel_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.697722,0.278855,0.186959,1.07,0.187116,0.2
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_travel_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.407576,0.179362,0.104966,0.19,0.154687,0.15
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_travel_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.661756,0.19944,0.144241,0.88,0.114156,0.11
BDI_Negotiatior_V2,MiCRO,scenarios_etc_specials_travel_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.787436,0.230062,0.137076,0.47,0.065907,0.06
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_travel_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.857642,0.192252,0.12904,0.82,0.113558,0.11
BDI_Negotiatior_V3,MiCRO,scenarios_etc_specials_travel_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.65647,0.193318,0.099986,0.87,0.132159,0.13
