self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V2,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.636439,0.306254,0.253078,0.98,0.181017,0.19
BDI_Negotiatior_V2,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.632327,0.111773,0.145628,0.4,0.111592,0.1
BDI_Negotiatior_V3,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.847767,0.078886,0.034248,0.02,0.062878,0.02
BDI_Negotiatior_V3,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.689337,0.086386,0.007858,0.0,0.131726,0.15
BDI_Negotiatior_V2,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.132078,0.246273,0.098553,0.25,0.250721,0.35
BDI_Negotiatior_V2,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.437478,0.093069,0.001289,0.0,0.156913,0.19
BDI_Negotiatior_V2,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.061212,0.350045,0.003743,0.02,0.481587,0.93
BDI_Negotiatior_V2,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.23623,0.146404,0.008074,0.01,0.26394,0.36
BDI_Negotiatior_V2,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.674986,0.06558,0.015447,0.0,0.090605,0.1
BDI_Negotiatior_V2,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.790897,0.347015,0.127229,0.32,0.215618,0.23
BDI_Negotiatior_V2,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.039684,0.095351,0.054109,0.05,0.261499,0.36
BDI_Negotiatior_V3,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.689929,0.066863,0.019265,0.01,0.022272,0.01
BDI_Negotiatior_V3,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,-0.210779,0.302754,0.0,0.0,,
BDI_Negotiatior_V3,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.637158,0.458835,0.12603,0.19,0.325054,0.37
BDI_Negotiatior_V3,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,-0.023019,0.324095,0.0,0.0,,
BDI_Negotiatior_V2,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.732231,0.108038,0.026914,0.01,0.066827,0.04
