self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V2,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.90515,0.090933,0.089437,0.15,0.024827,0.01
BDI_Negotiatior_V2,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.72152,0.088783,0.030404,0.08,0.016462,0.01
BDI_Negotiatior_V2,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.973724,0.062818,0.061853,0.06,0.022313,0.01
BDI_Negotiatior_V2,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.848228,0.036817,0.084625,0.09,0.036066,0.01
BDI_Negotiatior_V3,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.608343,0.26671,0.032873,0.03,0.017174,0.01
BDI_Negotiatior_V2,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.693112,0.056946,0.022063,0.01,0.037076,0.01
BDI_Negotiatior_V3,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.761631,0.050092,0.011069,0.0,0.041943,0.01
BDI_Negotiatior_V3,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.701487,0.194031,0.02963,0.17,0.020831,0.01
BDI_Negotiatior_V3,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.832537,0.071773,0.023238,0.02,0.023936,0.01
BDI_Negotiatior_V2,ParsAgent,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.790557,0.165641,0.033611,0.09,0.035566,0.03
