self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.869844,0.110791,0.197329,0.5,0.074077,0.07
BDI_Negotiatior_V3,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.795394,0.156582,0.073732,0.46,0.036609,0.03
BDI_Negotiatior_V3,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.757373,0.043807,0.034402,0.04,0.073756,0.07
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.815752,0.126952,0.069162,0.03,0.074671,0.08
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.609185,0.102158,0.134089,0.34,0.041098,0.04
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.679485,0.079367,0.145057,0.07,0.064859,0.02
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.829874,0.070016,0.076146,0.06,0.055798,0.03
BDI_Negotiatior_V3,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.764135,0.27553,0.137032,0.99,0.149334,0.14
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.841117,0.05019,0.083784,0.12,0.083225,0.07
BDI_Negotiatior_V3,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.796418,0.24961,0.10272,0.24,0.282928,0.3
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.767749,0.562974,0.118491,0.4,0.63831,0.7
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.799384,0.151805,0.087426,0.35,0.145044,0.15
BDI_Negotiatior_V3,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.635504,0.305371,0.103836,0.16,0.246297,0.25
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.592656,0.300437,0.106747,0.13,0.231338,0.25
BDI_Negotiatior_V3,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.692273,0.556872,0.180312,0.55,0.387667,0.41
BDI_Negotiatior_V3,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.975672,0.096789,0.182008,0.37,0.052116,0.04
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.660427,0.385228,0.075866,0.63,0.270799,0.3
BDI_Negotiatior_V3,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.68369,0.394493,0.115632,0.31,0.235291,0.26
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_adg_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.864089,0.259815,0.082071,0.38,0.129362,0.14
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_adg_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.830104,0.394728,0.069278,0.44,0.329343,0.36
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_adg_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.784369,0.266967,0.077333,0.14,0.194759,0.21
BDI_Negotiatior_V3,PonPokoAgent,scenarios_etc_specials_adg_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.67151,0.069194,0.097375,0.1,0.302031,0.2
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_adg_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.715703,0.300295,0.135318,0.21,0.22323,0.24
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_adg_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.658305,0.010283,0.016101,0.02,0.307548,0.14
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_adg_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.69767,0.264986,0.145662,0.32,0.190413,0.2
BDI_Negotiatior_V3,PonPokoAgent,scenarios_etc_specials_adg_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.779491,0.346239,0.161878,0.29,0.259237,0.28
BDI_Negotiatior_V3,PonPokoAgent,scenarios_etc_specials_adg_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.872182,0.092052,0.105115,0.12,0.110691,0.1
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_thompson_employment_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.853359,0.232594,0.139521,0.3,0.079036,0.08
BDI_Negotiatior_V2,PonPokoAgent,scenarios_etc_specials_thompson_employment_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.6476,0.267808,0.052794,0.18,0.112808,0.11
