self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V2,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.89451,0.048252,0.113885,0.2,0.038568,0.02
BDI_Negotiatior_V2,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.731016,0.073524,0.055728,0.09,0.032625,0.01
BDI_Negotiatior_V2,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.959494,0.054114,0.055607,0.04,0.009948,0.0
BDI_Negotiatior_V3,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.818295,0.036539,0.000875,0.0,0.029606,0.0
BDI_Negotiatior_V2,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.551616,0.155759,0.248979,0.35,0.010869,0.0
BDI_Negotiatior_V3,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.643161,0.050367,0.000808,0.0,0.0347,0.0
BDI_Negotiatior_V3,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.762148,0.032138,0.047097,0.03,0.040052,0.01
BDI_Negotiatior_V3,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.595168,0.040395,0.261202,0.23,0.072875,0.05
BDI_Negotiatior_V2,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.808789,0.045041,0.048836,0.03,0.065878,0.03
BDI_Negotiatior_V2,RandomDance,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.692234,0.050364,0.109987,0.22,0.047276,0.03
BDI_Negotiatior_V2,RandomDance,scenarios_etc_specials_Supermarket_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.502553,0.141148,0.11712,0.37,0.104195,0.08
BDI_Negotiatior_V2,RandomDance,scenarios_etc_specials_Supermarket_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.741919,0.044174,0.139977,0.31,0.039609,0.03
BDI_Negotiatior_V2,RandomDance,scenarios_etc_specials_Supermarket_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.555808,0.046301,0.152584,0.11,0.039934,0.02
BDI_Negotiatior_V3,RandomDance,scenarios_etc_specials_Supermarket_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.549294,0.053246,0.142392,0.18,0.077463,0.06
BDI_Negotiatior_V2,RandomDance,scenarios_etc_specials_Supermarket_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.404175,0.08313,0.373545,0.5,0.071397,0.06
BDI_Negotiatior_V3,RandomDance,scenarios_etc_specials_Supermarket_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.803188,0.016232,0.028049,0.02,0.037017,0.01
