self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V2,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.820133,0.099763,0.025938,0.01,0.019116,0.0
BDI_Negotiatior_V2,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.690915,0.070452,0.031107,0.02,0.027822,0.0
BDI_Negotiatior_V3,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.928478,0.062712,0.037444,0.01,0.015355,0.0
BDI_Negotiatior_V3,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.818992,0.036117,0.003325,0.0,0.029999,0.0
BDI_Negotiatior_V2,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.588851,0.243105,0.076953,0.02,0.015647,0.0
BDI_Negotiatior_V2,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.638957,0.048238,0.008867,0.0,0.035212,0.0
BDI_Negotiatior_V2,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.746128,0.040457,0.010365,0.0,0.034766,0.0
BDI_Negotiatior_V2,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.640771,0.078553,0.029909,0.0,0.016306,0.0
BDI_Negotiatior_V3,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.781258,0.027119,0.01315,0.0,0.028132,0.0
BDI_Negotiatior_V3,TMFAgent,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.750366,0.147476,0.05536,0.09,0.025007,0.01
BDI_Negotiatior_V2,TMFAgent,scenarios_etc_specials_Supermarket_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.430592,0.138356,0.027309,0.02,0.024037,0.01
