self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.853944,0.030959,0.145728,0.33,0.112556,0.11
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.675831,0.059656,0.015577,0.02,0.01855,0.01
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.928402,0.0454,0.040533,0.04,0.022032,0.0
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.883704,0.036628,0.072471,0.06,0.040317,0.02
BDI_Negotiatior_V2,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.585451,0.118727,0.358278,0.72,0.085915,0.08
BDI_Negotiatior_V2,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.641248,0.022166,0.164925,0.2,0.081871,0.05
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.787886,0.023894,0.06186,0.06,0.073294,0.04
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.620738,0.068633,0.198461,0.49,0.110112,0.11
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.845599,0.065184,0.020779,0.02,0.033057,0.02
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_Supermarket_domain_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.704081,0.052873,0.125609,0.19,0.032447,0.02
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_Supermarket_domain_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.244028,0.13148,0.073514,0.08,0.041057,0.02
BDI_Negotiatior_V2,TheFawkes,scenarios_etc_specials_Supermarket_domain_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.649204,0.078942,0.030641,0.06,0.11557,0.11
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_Supermarket_domain_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.546861,0.043916,0.122288,0.09,0.039381,0.02
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_Supermarket_domain_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.43288,0.079968,0.140139,0.12,0.041274,0.02
BDI_Negotiatior_V2,TheFawkes,scenarios_etc_specials_Supermarket_domain_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.319669,0.021003,0.169916,0.2,0.106332,0.1
BDI_Negotiatior_V2,TheFawkes,scenarios_etc_specials_Supermarket_domain_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.867349,0.026691,0.049208,0.06,0.036754,0.02
BDI_Negotiatior_V2,TheFawkes,scenarios_etc_specials_Supermarket_domain_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.392749,0.02792,0.01766,0.02,0.036701,0.02
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_Supermarket_domain_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.478542,0.075203,0.168117,0.28,0.037082,0.03
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_adg_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.805231,0.016995,0.09223,0.24,0.03113,0.02
BDI_Negotiatior_V2,TheFawkes,scenarios_etc_specials_adg_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.560062,0.047829,0.106944,0.64,0.130461,0.13
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_adg_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.65428,0.042959,0.022792,0.03,0.056527,0.05
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_adg_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,-0.344156,0.487014,0.0,0.0,0.0,0.0
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_adg_lOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.639179,0.048277,0.217164,0.28,0.029795,0.01
BDI_Negotiatior_V2,TheFawkes,scenarios_etc_specials_adg_lOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.682539,0.00795,0.106304,0.07,0.120061,0.11
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_adg_mOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.600365,0.021273,0.024845,0.01,0.048239,0.03
BDI_Negotiatior_V2,TheFawkes,scenarios_etc_specials_adg_mOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.553059,0.016562,0.050064,0.02,0.047318,0.01
BDI_Negotiatior_V2,TheFawkes,scenarios_etc_specials_adg_mOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.74761,0.01364,0.038108,0.03,0.042458,0.02
BDI_Negotiatior_V2,TheFawkes,scenarios_etc_specials_thompson_employment_hOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.615996,0.039441,0.040681,0.04,0.040379,0.02
BDI_Negotiatior_V2,TheFawkes,scenarios_etc_specials_thompson_employment_hOlD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.450883,0.1151,0.092329,0.34,0.043993,0.04
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_thompson_employment_hOmD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.865945,0.040029,0.150624,0.3,0.033182,0.02
BDI_Negotiatior_V3,TheFawkes,scenarios_etc_specials_thompson_employment_lOhD.xml,dynamic_anchor_bayesian_regression,dynamic_anchor_bayesian_regression,True,0.770675,0.021351,0.060027,0.03,0.042284,0.01
