self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_adg_lOmD.xml,concession_model,concession_model,True,0.699706,0.010876,0.030169,0.04,0.121894,0.06
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_adg_lOlD.xml,concession_model,concession_model,True,0.673021,0.158509,0.127501,0.22,0.233475,0.2
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,concession_model,concession_model,True,0.917721,0.059157,0.067345,0.24,0.166246,0.14
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_adg_mOlD.xml,concession_model,concession_model,True,0.769602,0.120688,0.11581,0.15,0.241093,0.22
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_adg_lOhD.xml,concession_model,concession_model,True,0.615286,0.073133,0.089898,0.1,0.15049,0.11
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_adg_mOhD.xml,concession_model,concession_model,True,0.752423,0.212121,0.113004,0.21,0.208907,0.19
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_adg_mOmD.xml,concession_model,concession_model,True,0.799824,0.055149,0.082006,0.09,0.136942,0.1
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,concession_model,concession_model,True,0.907336,0.038811,0.121145,0.19,0.151233,0.11
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,concession_model,concession_model,True,0.649059,0.231505,0.137436,0.41,0.264964,0.21
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,concession_model,concession_model,True,0.782803,0.215014,0.1698,0.27,0.259162,0.23
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_adg_hOhD.xml,concession_model,concession_model,True,0.873888,0.213766,0.096561,0.41,0.170446,0.17
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,concession_model,concession_model,True,0.856529,0.081546,0.072065,0.1,0.245513,0.21
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,concession_model,concession_model,True,0.802923,0.202856,0.051778,0.22,0.265694,0.26
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,concession_model,concession_model,True,0.84162,0.307994,0.091879,0.37,0.308838,0.3
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,concession_model,concession_model,True,0.905418,0.099788,0.085121,0.15,0.210418,0.19
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_adg_hOlD.xml,concession_model,concession_model,True,0.77767,0.283828,0.140288,0.48,0.334904,0.36
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,concession_model,concession_model,True,0.947262,0.068544,0.079292,0.13,0.123545,0.1
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_thompson_employment_lOhD.xml,concession_model,concession_model,True,0.864251,0.080381,0.227985,0.28,0.126093,0.1
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_thompson_employment_lOlD.xml,concession_model,concession_model,True,0.639942,0.34362,0.119985,0.3,0.352914,0.29
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_thompson_employment_lOmD.xml,concession_model,concession_model,True,0.725192,0.227009,0.112398,0.28,0.372762,0.3
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_thompson_employment_hOhD.xml,concession_model,concession_model,True,0.840211,0.231222,0.208594,0.53,0.204197,0.17
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_thompson_employment_mOlD.xml,concession_model,concession_model,True,0.722294,0.226192,0.104637,0.22,0.254583,0.21
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_thompson_employment_mOmD.xml,concession_model,concession_model,True,0.794986,0.178187,0.106394,0.24,0.219506,0.19
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_thompson_employment_mOhD.xml,concession_model,concession_model,True,0.978401,0.040376,0.075962,0.15,0.09808,0.08
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_Supermarket_domain_lOhD.xml,concession_model,concession_model,True,0.568862,0.128814,0.090576,0.11,0.256434,0.2
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_thompson_employment_hOmD.xml,concession_model,concession_model,True,0.933762,0.166404,0.117825,0.22,0.172378,0.18
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_thompson_employment_hOlD.xml,concession_model,concession_model,True,0.69026,0.353124,0.091502,0.27,0.362608,0.37
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_Supermarket_domain_hOhD.xml,concession_model,concession_model,True,0.82648,0.267704,0.1082,0.23,0.211959,0.2
concession_model_Negotiatior,AspirationNegotiator,scenarios_etc_specials_Supermarket_domain_mOmD.xml,concession_model,concession_model,True,0.635125,0.256363,0.126176,0.22,0.287434,0.24
