self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,concession_model,concession_model,True,0.914766,0.112686,0.137039,0.44,0.111347,0.11
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,concession_model,concession_model,True,0.84851,0.057417,0.071273,0.12,0.127463,0.12
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,concession_model,concession_model,True,0.761658,0.04903,0.046088,0.07,0.193007,0.19
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,concession_model,concession_model,True,0.674117,0.127301,0.083904,0.46,0.102565,0.1
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,concession_model,concession_model,True,0.551597,0.184335,0.182519,0.9,0.122618,0.12
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,concession_model,concession_model,True,0.827296,0.03377,0.046099,0.07,0.206282,0.2
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,concession_model,concession_model,True,0.973586,0.055145,0.120501,0.35,0.088093,0.09
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,concession_model,concession_model,True,0.627455,0.043791,0.277467,0.52,0.182272,0.18
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,concession_model,concession_model,True,0.755483,0.107257,0.066431,0.3,0.177079,0.17
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_adg_lOlD.xml,concession_model,concession_model,True,0.751229,0.305632,0.241911,0.36,0.351605,0.37
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_adg_hOlD.xml,concession_model,concession_model,True,0.45552,0.138926,0.131238,0.7,0.276205,0.3
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_adg_lOhD.xml,concession_model,concession_model,True,0.591492,0.07407,0.149468,0.17,0.115925,0.11
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_adg_mOlD.xml,concession_model,concession_model,True,0.709387,0.081736,0.138664,0.17,0.208647,0.21
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_adg_hOmD.xml,concession_model,concession_model,True,0.558724,0.093231,0.165739,0.3,0.134979,0.14
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_hOmD.xml,concession_model,concession_model,True,0.903868,0.090415,0.13205,0.25,0.142852,0.15
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_adg_mOmD.xml,concession_model,concession_model,True,0.76127,0.02443,0.089936,0.1,0.092101,0.08
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_hOhD.xml,concession_model,concession_model,True,0.592954,0.030053,0.035218,0.04,0.156383,0.15
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_adg_hOhD.xml,concession_model,concession_model,True,0.738176,0.016697,0.118227,0.3,0.068884,0.06
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_hOlD.xml,concession_model,concession_model,True,0.330588,0.1633,0.1101,0.29,0.227974,0.24
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_mOlD.xml,concession_model,concession_model,True,0.603064,0.23461,0.089306,0.2,0.207836,0.21
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_adg_mOhD.xml,concession_model,concession_model,True,0.727345,0.085367,0.242763,0.36,0.125994,0.12
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_mOmD.xml,concession_model,concession_model,True,0.731596,0.185201,0.201583,0.45,0.172648,0.17
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_lOlD.xml,concession_model,concession_model,True,0.59556,0.198712,0.257734,0.53,0.237538,0.23
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_Supermarket_domain_lOlD.xml,concession_model,concession_model,True,0.365721,0.144723,0.189185,0.22,0.139247,0.14
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_Supermarket_domain_mOhD.xml,concession_model,concession_model,True,0.788244,0.025223,0.148105,0.2,0.052644,0.04
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_Supermarket_domain_hOmD.xml,concession_model,concession_model,True,0.926185,0.325939,0.170624,0.43,0.275584,0.38
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_Supermarket_domain_lOmD.xml,concession_model,concession_model,True,0.469187,0.158741,0.260924,0.49,0.152427,0.15
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_Supermarket_domain_mOlD.xml,concession_model,concession_model,True,0.139602,0.105915,0.20137,0.5,0.090154,0.09
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_lOmD.xml,concession_model,concession_model,True,0.436552,0.135651,0.150755,0.26,0.198379,0.19
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_Supermarket_domain_hOlD.xml,concession_model,concession_model,True,0.082446,0.203612,0.185984,0.42,0.254425,0.27
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_Supermarket_domain_mOmD.xml,concession_model,concession_model,True,0.422607,0.131576,0.110763,0.2,0.183388,0.17
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_lOhD.xml,concession_model,concession_model,True,0.593336,0.112523,0.235572,0.57,0.192812,0.2
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_Supermarket_domain_hOhD.xml,concession_model,concession_model,True,0.574567,0.088212,0.17435,0.31,0.130552,0.12
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_lOlD.xml,concession_model,concession_model,True,0.039492,0.219565,0.19629,0.28,0.129255,0.13
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_mOhD.xml,concession_model,concession_model,True,0.684561,0.13823,0.122984,0.46,0.109403,0.1
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_mOmD.xml,concession_model,concession_model,True,0.391946,0.058642,0.141389,0.3,0.107896,0.11
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_hOmD.xml,concession_model,concession_model,True,0.424984,0.165741,0.112389,0.19,0.230355,0.24
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_mOhD.xml,concession_model,concession_model,True,0.984753,0.032692,0.112835,0.2,0.090733,0.08
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_lOmD.xml,concession_model,concession_model,True,0.612453,0.180313,0.225786,0.64,0.252925,0.25
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_mOlD.xml,concession_model,concession_model,True,0.654328,0.117244,0.225578,0.55,0.106709,0.11
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_adg_lOmD.xml,concession_model,concession_model,True,0.67224,0.009529,0.133571,0.15,0.140665,0.13
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_lOhD.xml,concession_model,concession_model,True,0.752645,0.018037,0.345891,0.43,0.058112,0.04
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_Supermarket_domain_lOhD.xml,concession_model,concession_model,True,0.565897,0.056119,0.112247,0.16,0.10772,0.1
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_hOhD.xml,concession_model,concession_model,True,0.720483,0.09301,0.287942,0.61,0.135179,0.13
concession_model_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_hOlD.xml,concession_model,concession_model,True,0.227131,0.137329,0.137796,0.33,0.13404,0.14
