self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
concession_model_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_lOhD.xml,concession_model,concession_model,True,0.6165,0.069549,0.087212,0.09,0.149337,0.11
concession_model_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_lOmD.xml,concession_model,concession_model,True,0.699384,0.010856,0.030168,0.04,0.121045,0.06
concession_model_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,concession_model,concession_model,True,0.917675,0.060237,0.066456,0.23,0.16997,0.14
concession_model_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,concession_model,concession_model,True,0.643251,0.191265,0.136921,0.41,0.26531,0.21
concession_model_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,concession_model,concession_model,True,0.907168,0.038949,0.120913,0.19,0.151826,0.11
concession_model_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,concession_model,concession_model,True,0.855729,0.08107,0.072427,0.1,0.245339,0.21
concession_model_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_lOlD.xml,concession_model,concession_model,True,0.670821,0.151846,0.125395,0.21,0.233405,0.2
concession_model_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,concession_model,concession_model,True,0.782629,0.211392,0.168215,0.27,0.260277,0.23
concession_model_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_mOmD.xml,concession_model,concession_model,True,0.79929,0.055214,0.081427,0.09,0.136195,0.1
concession_model_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,concession_model,concession_model,True,0.841458,0.31068,0.091532,0.36,0.308261,0.29
