self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_lOhD.xml,concession_model,concession_model,True,0.549744,0.015821,0.071834,0.08,0.265298,0.25
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,concession_model,concession_model,True,0.777587,0.025753,0.030245,0.06,0.038938,0.03
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,concession_model,concession_model,True,0.567777,0.281235,0.031059,0.28,0.03299,0.03
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,concession_model,concession_model,True,0.648068,0.107562,0.030335,0.25,0.034327,0.03
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,concession_model,concession_model,True,0.743345,0.05216,0.030035,0.04,0.04726,0.03
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,concession_model,concession_model,True,0.858851,0.09513,0.030294,0.1,0.032965,0.03
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,concession_model,concession_model,True,0.653141,0.077142,0.030104,0.19,0.038801,0.03
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,concession_model,concession_model,True,0.643232,0.049515,0.030252,0.06,0.049591,0.03
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,concession_model,concession_model,True,0.787215,0.11841,0.030564,0.12,0.037009,0.03
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,concession_model,concession_model,True,0.645107,0.049662,0.030174,0.06,0.049704,0.03
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,concession_model,concession_model,True,0.819796,0.025921,0.030347,0.05,0.044186,0.03
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_hOhD.xml,concession_model,concession_model,True,0.766881,0.02223,0.120802,0.35,0.155672,0.15
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_lOhD.xml,concession_model,concession_model,True,0.728654,0.017807,0.245711,0.3,0.116956,0.11
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_hOlD.xml,concession_model,concession_model,True,0.547983,0.058273,0.070917,0.44,0.33572,0.33
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_lOlD.xml,concession_model,concession_model,True,0.549095,0.066365,0.201561,0.34,0.328323,0.32
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_hOmD.xml,concession_model,concession_model,True,0.654405,0.020046,0.024776,0.05,0.185044,0.18
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_mOlD.xml,concession_model,concession_model,True,0.59649,0.058835,0.067464,0.17,0.239595,0.24
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_hOhD.xml,concession_model,concession_model,True,0.736476,0.036546,0.195757,0.31,0.283088,0.28
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_hOmD.xml,concession_model,concession_model,True,0.805706,0.050887,0.073525,0.16,0.103548,0.1
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_lOmD.xml,concession_model,concession_model,True,0.510708,0.06246,0.226581,0.45,0.352709,0.35
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_mOmD.xml,concession_model,concession_model,True,0.671719,0.045394,0.226891,0.36,0.241206,0.24
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_hOlD.xml,concession_model,concession_model,True,0.509345,0.091723,0.040294,0.22,0.248193,0.25
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_mOhD.xml,concession_model,concession_model,True,0.912599,0.042937,0.032118,0.09,0.083694,0.08
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_mOlD.xml,concession_model,concession_model,True,0.659714,0.0452,0.087287,0.12,0.242551,0.24
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_lOmD.xml,concession_model,concession_model,True,0.709304,0.011139,0.071821,0.08,0.117425,0.11
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_mOhD.xml,concession_model,concession_model,True,0.682797,0.010774,0.248537,0.34,0.230426,0.23
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_mOmD.xml,concession_model,concession_model,True,0.762884,0.026711,0.047006,0.06,0.125651,0.12
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_Supermarket_domain_mOmD.xml,concession_model,concession_model,True,0.473663,0.043751,0.136041,0.25,0.156696,0.15
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_lOlD.xml,concession_model,concession_model,True,0.601162,0.079796,0.151509,0.23,0.086532,0.06
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_Supermarket_domain_lOmD.xml,concession_model,concession_model,True,0.39664,0.026604,0.324209,0.44,0.470448,0.47
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_Supermarket_domain_lOhD.xml,concession_model,concession_model,True,0.505548,0.112452,0.103201,0.21,0.291028,0.29
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_Supermarket_domain_hOmD.xml,concession_model,concession_model,True,0.601792,0.100177,0.146716,0.37,0.395694,0.41
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_Supermarket_domain_mOmD.xml,concession_model,concession_model,True,0.519117,0.115694,0.043551,0.1,0.200964,0.2
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_Supermarket_domain_hOhD.xml,concession_model,concession_model,True,0.736109,0.043583,0.178237,0.31,0.264111,0.26
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_hOhD.xml,concession_model,concession_model,True,0.734627,0.0365,0.31505,0.57,0.324905,0.32
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_Supermarket_domain_mOlD.xml,concession_model,concession_model,True,0.460679,0.039636,0.058735,0.29,0.437375,0.44
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_hOmD.xml,concession_model,concession_model,True,0.569256,0.041634,0.089231,0.27,0.223105,0.22
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_hOlD.xml,concession_model,concession_model,True,0.483207,0.103315,0.065309,0.22,0.385437,0.38
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_lOhD.xml,concession_model,concession_model,True,0.616186,0.097719,0.137784,0.48,0.332071,0.33
concession_model_Negotiatior,CUHKAgent,scenarios_etc_specials_Supermarket_domain_hOlD.xml,concession_model,concession_model,True,0.145907,0.121046,0.078671,0.18,0.269175,0.24
