self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
concession_model_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_hOhD.xml,concession_model,concession_model,True,0.952822,0.500258,0.23057,0.76,0.328459,0.54
concession_model_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_lOhD.xml,concession_model,concession_model,True,-0.344156,0.487014,0.0,0.0,0.743824,0.9
concession_model_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_lOlD.xml,concession_model,concession_model,True,0.920412,0.593519,0.289167,0.33,0.473665,0.68
concession_model_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_lOmD.xml,concession_model,concession_model,True,0.054799,0.482923,0.411325,0.55,0.735639,0.9
concession_model_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_mOhD.xml,concession_model,concession_model,True,0.929632,0.540626,0.281645,0.55,0.357329,0.52
concession_model_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,concession_model,concession_model,True,0.826201,0.146357,0.301842,1.02,0.349934,0.37
concession_model_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_mOlD.xml,concession_model,concession_model,True,0.727256,0.102007,0.346518,0.62,0.533732,0.61
concession_model_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_hOlD.xml,concession_model,concession_model,True,0.798413,0.502375,0.371343,1.12,0.345466,0.61
concession_model_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_mOmD.xml,concession_model,concession_model,True,0.891509,0.164943,0.243755,0.31,0.490398,0.59
concession_model_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_hOmD.xml,concession_model,concession_model,True,0.831168,0.589591,0.335906,0.89,0.321787,0.59
concession_model_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,concession_model,concession_model,True,0.858333,0.333319,0.341215,0.82,0.33348,0.43
concession_model_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,concession_model,concession_model,True,0.73563,0.381798,0.235573,0.48,0.363361,0.49
