self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_lOhD.xml,concession_model,concession_model,True,0.550733,0.015939,0.07698,0.08,0.235007,0.22
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_hOmD.xml,concession_model,concession_model,True,0.195751,0.125366,0.0,0.0,nan,nan
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_lOlD.xml,concession_model,concession_model,True,0.153673,0.126645,0.0,0.0,nan,nan
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,concession_model,concession_model,True,0.9534,0.057467,0.047683,0.12,0.126262,0.08
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,concession_model,concession_model,True,0.566439,0.321925,0.03,0.28,0.030495,0.03
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,concession_model,concession_model,True,0.868611,0.032569,0.078064,0.11,0.095142,0.06
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,concession_model,concession_model,True,0.715582,0.093848,0.037752,0.2,0.164161,0.1
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_lOmD.xml,concession_model,concession_model,True,0.731953,0.018961,0.03012,0.04,0.111974,0.07
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,concession_model,concession_model,True,0.649794,0.049179,0.032315,0.06,0.052526,0.03
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_lOhD.xml,concession_model,concession_model,True,0.79792,0.058897,0.118059,0.12,0.094245,0.06
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,concession_model,concession_model,True,0.74141,0.042767,0.030041,0.04,0.047431,0.03
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_hOlD.xml,concession_model,concession_model,True,0.634845,0.095061,0.077671,0.47,0.216789,0.15
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_lOlD.xml,concession_model,concession_model,True,0.624199,0.140722,0.07817,0.12,0.14481,0.09
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_mOmD.xml,concession_model,concession_model,True,0.767838,0.024298,0.056226,0.08,0.114906,0.11
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_mOhD.xml,concession_model,concession_model,True,0.960398,0.049022,0.052621,0.12,0.091293,0.06
concession_model_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_hOmD.xml,concession_model,concession_model,True,0.880768,0.099459,0.064471,0.12,0.117681,0.08
