self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_adg_lOmD.xml,concession_model,concession_model,True,0.739485,0.054637,0.133951,0.13,0.46808,0.34
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,concession_model,concession_model,True,0.932203,0.189037,0.229127,0.71,0.247858,0.27
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,concession_model,concession_model,True,0.673162,0.277606,0.321278,0.83,0.301852,0.31
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,concession_model,concession_model,True,0.919676,0.065232,0.30637,0.61,0.25448,0.25
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,concession_model,concession_model,True,0.967179,0.194618,0.257915,0.84,0.23687,0.3
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,concession_model,concession_model,True,0.76327,0.145212,0.296757,0.46,0.339271,0.27
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,concession_model,concession_model,True,0.812914,0.096042,0.154549,0.18,0.360284,0.34
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,concession_model,concession_model,True,0.913486,0.268165,0.203807,0.39,0.297058,0.34
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,concession_model,concession_model,True,0.817237,0.281768,0.249441,1.02,0.335681,0.35
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_adg_lOhD.xml,concession_model,concession_model,True,0.644936,0.044448,0.155139,0.17,0.1921,0.16
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,concession_model,concession_model,True,0.938728,0.284226,0.163092,0.44,0.374076,0.44
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_lOhD.xml,concession_model,concession_model,True,0.879591,0.140986,0.277367,0.39,0.187183,0.14
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_mOmD.xml,concession_model,concession_model,True,0.743172,0.21875,0.255197,0.54,0.226774,0.24
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_hOhD.xml,concession_model,concession_model,True,0.807707,0.200899,0.23144,0.46,0.255143,0.27
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_mOhD.xml,concession_model,concession_model,True,0.982314,0.209056,0.26948,0.54,0.208128,0.24
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_adg_mOmD.xml,concession_model,concession_model,True,0.882455,0.09803,0.194197,0.24,0.22129,0.23
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_adg_mOhD.xml,concession_model,concession_model,True,0.700993,0.259748,0.240768,0.42,0.239461,0.25
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_hOmD.xml,concession_model,concession_model,True,0.903444,0.193822,0.167909,0.3,0.177869,0.2
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_mOlD.xml,concession_model,concession_model,True,0.773707,0.39256,0.203046,0.56,0.367328,0.39
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_lOlD.xml,concession_model,concession_model,True,0.766147,0.493767,0.247879,0.54,0.513864,0.53
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_lOmD.xml,concession_model,concession_model,True,0.786532,0.44013,0.246546,0.76,0.461773,0.47
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_travel_domain_mOmD.xml,concession_model,concession_model,True,0.655402,0.166887,0.141758,0.76,0.20414,0.2
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_adg_hOhD.xml,concession_model,concession_model,True,0.87541,0.299608,0.151531,0.63,0.229735,0.26
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_adg_hOlD.xml,concession_model,concession_model,True,0.728953,0.335787,0.071346,0.66,0.342642,0.36
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_adg_hOmD.xml,concession_model,concession_model,True,0.78715,0.267762,0.107301,0.17,0.252975,0.27
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_adg_lOlD.xml,concession_model,concession_model,True,0.730476,0.325861,0.228212,0.32,0.374471,0.4
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_adg_mOlD.xml,concession_model,concession_model,True,0.768746,0.163615,0.233573,0.33,0.308218,0.33
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_Supermarket_domain_mOmD.xml,concession_model,concession_model,True,0.598476,0.269017,0.138823,0.31,0.263568,0.27
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_Supermarket_domain_mOlD.xml,concession_model,concession_model,True,0.639834,0.306272,0.044313,0.28,0.22489,0.22
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_Supermarket_domain_lOhD.xml,concession_model,concession_model,True,0.59671,0.252559,0.139144,0.21,0.315081,0.32
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_hOlD.xml,concession_model,concession_model,True,0.795748,0.394941,0.138264,0.42,0.472201,0.52
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_Supermarket_domain_lOmD.xml,concession_model,concession_model,True,0.496066,0.319053,0.282013,0.61,0.339262,0.33
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_travel_domain_hOmD.xml,concession_model,concession_model,True,0.685348,0.233362,0.125509,0.49,0.24284,0.23
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_travel_domain_hOhD.xml,concession_model,concession_model,True,0.906999,0.20324,0.162275,0.51,0.226471,0.22
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_travel_domain_lOhD.xml,concession_model,concession_model,True,0.694606,0.277685,0.258732,1.16,0.285729,0.3
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_travel_domain_hOlD.xml,concession_model,concession_model,True,0.627353,0.128934,0.042881,0.15,0.198958,0.19
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_travel_domain_lOmD.xml,concession_model,concession_model,True,0.662507,0.200713,0.219516,0.89,0.229961,0.23
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_travel_domain_lOlD.xml,concession_model,concession_model,True,0.388363,0.187096,0.140323,0.23,0.213513,0.21
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_Supermarket_domain_lOlD.xml,concession_model,concession_model,True,0.618626,0.22592,0.120714,0.16,0.243638,0.24
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_Supermarket_domain_hOlD.xml,concession_model,concession_model,True,0.450571,0.306769,0.146706,0.68,0.424459,0.39
concession_model_Negotiatior,MiCRO,scenarios_etc_specials_Supermarket_domain_mOhD.xml,concession_model,concession_model,True,0.956382,0.067689,0.266591,0.59,0.062119,0.05
