self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_lOhD.xml,concession_model,concession_model,True,-0.344156,0.487014,0.0,0.0,nan,nan
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_hOhD.xml,concession_model,concession_model,True,0.47647,0.216484,0.144495,0.4,0.179101,0.25
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_mOhD.xml,concession_model,concession_model,True,0.371003,0.27209,0.195993,0.48,0.315045,0.53
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_lOmD.xml,concession_model,concession_model,True,0.48009,0.151056,0.110164,0.11,0.292035,0.33
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_mOlD.xml,concession_model,concession_model,True,0.636775,0.453084,0.49384,0.57,0.522343,0.71
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_mOmD.xml,concession_model,concession_model,True,0.129062,0.452352,0.0,0.0,nan,nan
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,concession_model,concession_model,True,0.698391,0.331999,0.391988,1.03,0.322775,0.46
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,concession_model,concession_model,True,0.266909,0.355418,0.230204,0.75,0.279558,0.35
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_lOhD.xml,concession_model,concession_model,True,-0.210779,0.302754,0.0,0.0,nan,nan
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_lOmD.xml,concession_model,concession_model,True,-0.023019,0.324095,0.0,0.0,nan,nan
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_hOhD.xml,concession_model,concession_model,True,-0.064445,0.253166,0.0,0.0,nan,nan
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_lOhD.xml,concession_model,concession_model,True,0.602806,0.24465,0.13287,0.15,0.172931,0.2
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_mOmD.xml,concession_model,concession_model,True,0.061789,0.244668,0.0,0.0,nan,nan
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_lOlD.xml,concession_model,concession_model,True,0.374136,0.265326,0.2475,0.97,0.270307,0.39
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_lOmD.xml,concession_model,concession_model,True,0.361297,0.408843,0.188206,0.69,0.471215,0.5
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_mOlD.xml,concession_model,concession_model,True,0.12219,0.407703,0.23072,0.32,0.366212,0.6
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_mOmD.xml,concession_model,concession_model,True,0.151584,0.309465,0.341649,0.68,0.371528,0.6
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_mOmD.xml,concession_model,concession_model,True,0.597776,0.239956,0.156837,0.74,0.145338,0.14
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_mOhD.xml,concession_model,concession_model,True,-0.010084,0.161086,0.0,0.0,nan,nan
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_lOmD.xml,concession_model,concession_model,True,0.269068,0.363195,0.190163,0.83,0.240715,0.28
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_hOhD.xml,concession_model,concession_model,True,0.702229,0.2871,0.201805,0.99,0.371142,0.44
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_hOmD.xml,concession_model,concession_model,True,0.855278,0.297366,0.204408,0.37,0.264317,0.3
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_lOhD.xml,concession_model,concession_model,True,0.603908,0.501098,0.247671,1.09,0.458543,0.62
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,concession_model,concession_model,True,0.228553,0.145342,0.030961,0.17,0.237347,0.32
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,concession_model,concession_model,True,0.061212,0.350042,0.001618,0.0,0.22266,0.43
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,concession_model,concession_model,True,0.437475,0.093069,0.188319,0.31,0.129512,0.15
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,concession_model,concession_model,True,0.687637,0.086706,0.084676,0.16,0.100387,0.11
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,concession_model,concession_model,True,0.55252,0.046166,0.080355,0.36,0.252522,0.25
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,concession_model,concession_model,True,0.677635,0.064656,0.030452,0.04,0.168012,0.18
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,concession_model,concession_model,True,0.834966,0.081755,0.09032,0.31,0.045179,0.04
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_mOhD.xml,concession_model,concession_model,True,0.556041,0.124734,0.080197,0.38,0.262341,0.37
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_lOlD.xml,concession_model,concession_model,True,0.439205,0.177574,0.064703,0.12,0.121151,0.1
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_hOlD.xml,concession_model,concession_model,True,0.347153,0.047785,0.030156,0.08,0.152751,0.16
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_hOmD.xml,concession_model,concession_model,True,0.308525,0.056147,0.124719,0.26,0.333494,0.46
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_hOlD.xml,concession_model,concession_model,True,0.910687,0.461149,0.311838,1.29,0.477533,0.68
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_hOhD.xml,concession_model,concession_model,True,0.788687,0.345002,0.190066,0.45,0.29096,0.34
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_lOlD.xml,concession_model,concession_model,True,0.629005,0.464747,0.211119,0.27,0.393644,0.47
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_mOhD.xml,concession_model,concession_model,True,0.759134,0.102714,0.261968,0.74,0.072656,0.02
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_hOmD.xml,concession_model,concession_model,True,0.692262,0.066193,0.040343,0.13,0.187941,0.09
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_mOlD.xml,concession_model,concession_model,True,0.313653,0.03456,0.077555,0.1,0.258403,0.26
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_hOlD.xml,concession_model,concession_model,True,0.043036,0.094341,0.109229,0.21,0.328186,0.41
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_hOmD.xml,concession_model,concession_model,True,0.165376,0.121684,0.056326,0.23,0.362435,0.58
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_hOlD.xml,concession_model,concession_model,True,0.127219,0.073735,0.11468,0.98,0.2765,0.38
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_mOlD.xml,concession_model,concession_model,True,0.859771,0.521483,0.294908,0.71,0.413046,0.63
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_lOlD.xml,concession_model,concession_model,True,0.078263,0.079151,0.053906,0.12,0.266697,0.28
concession_model_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_hOmD.xml,concession_model,concession_model,True,0.174028,0.129996,0.072671,0.25,0.372004,0.59
