self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,concession_model,concession_model,True,0.69232,0.056048,0.074952,0.14,0.155206,0.14
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,concession_model,concession_model,True,0.762901,0.055933,0.070096,0.1,0.196171,0.19
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_adg_lOhD.xml,concession_model,concession_model,True,0.527635,0.079991,0.110011,0.16,0.09917,0.07
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,concession_model,concession_model,True,0.609503,0.263561,0.103,0.83,0.149733,0.14
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,concession_model,concession_model,True,0.850259,0.029429,0.280185,0.46,0.143867,0.14
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,concession_model,concession_model,True,0.833113,0.068886,0.086096,0.16,0.20599,0.2
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,concession_model,concession_model,True,0.701802,0.192057,0.080912,0.62,0.181578,0.16
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,concession_model,concession_model,True,0.905126,0.093651,0.134654,0.47,0.216534,0.21
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,concession_model,concession_model,True,0.97698,0.059725,0.1322,0.39,0.161537,0.15
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,concession_model,concession_model,True,0.718625,0.08816,0.091056,0.53,0.187576,0.18
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_adg_lOmD.xml,concession_model,concession_model,True,0.731034,0.018379,0.10845,0.12,0.067585,0.04
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_adg_mOhD.xml,concession_model,concession_model,True,0.726145,0.131542,0.131743,0.3,0.13001,0.12
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_adg_mOmD.xml,concession_model,concession_model,True,0.789233,0.046941,0.062126,0.08,0.123936,0.12
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_thompson_employment_lOlD.xml,concession_model,concession_model,True,0.564258,0.171848,0.205646,0.58,0.110594,0.1
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_Supermarket_domain_lOmD.xml,concession_model,concession_model,True,0.46321,0.160507,0.189994,0.42,0.169776,0.16
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_adg_hOlD.xml,concession_model,concession_model,True,0.63741,0.075955,0.009932,0.1,0.133593,0.12
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_adg_lOlD.xml,concession_model,concession_model,True,0.613387,0.107614,0.149508,0.28,0.136842,0.13
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_adg_hOmD.xml,concession_model,concession_model,True,0.741106,0.057602,0.040119,0.06,0.119978,0.11
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_adg_hOhD.xml,concession_model,concession_model,True,0.812349,0.044483,0.069818,0.24,0.11939,0.11
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_thompson_employment_lOhD.xml,concession_model,concession_model,True,0.778661,0.050523,0.20571,0.35,0.115527,0.1
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_Supermarket_domain_lOhD.xml,concession_model,concession_model,True,0.551762,0.086449,0.051162,0.07,0.127697,0.11
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_Supermarket_domain_hOhD.xml,concession_model,concession_model,True,0.788383,0.16311,0.053343,0.15,0.061668,0.05
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_adg_mOlD.xml,concession_model,concession_model,True,0.644937,0.060385,0.093562,0.13,0.107327,0.09
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_Supermarket_domain_hOmD.xml,concession_model,concession_model,True,0.723232,0.054874,0.095354,0.32,0.105905,0.09
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_Supermarket_domain_hOlD.xml,concession_model,concession_model,True,0.34093,0.124496,0.062643,0.37,0.073698,0.05
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_thompson_employment_hOmD.xml,concession_model,concession_model,True,0.858547,0.071575,0.098683,0.25,0.125723,0.12
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_thompson_employment_lOmD.xml,concession_model,concession_model,True,0.564026,0.143084,0.189247,0.8,0.06949,0.06
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_thompson_employment_mOmD.xml,concession_model,concession_model,True,0.708251,0.217348,0.047479,0.16,0.117334,0.1
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_thompson_employment_hOhD.xml,concession_model,concession_model,True,0.781847,0.047367,0.24342,0.38,0.112851,0.1
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_thompson_employment_mOlD.xml,concession_model,concession_model,True,0.629154,0.114527,0.048002,0.11,0.116144,0.11
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_Supermarket_domain_lOlD.xml,concession_model,concession_model,True,0.492971,0.071551,0.058909,0.09,0.048681,0.03
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_Supermarket_domain_mOhD.xml,concession_model,concession_model,True,0.933423,0.018522,0.236311,0.38,0.099003,0.08
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_Supermarket_domain_mOlD.xml,concession_model,concession_model,True,0.448697,0.050972,0.042488,0.12,0.075158,0.06
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_travel_domain_mOhD.xml,concession_model,concession_model,True,0.752446,0.148073,0.086036,0.85,0.099188,0.09
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_thompson_employment_mOhD.xml,concession_model,concession_model,True,0.964224,0.05441,0.068857,0.12,0.125933,0.12
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_thompson_employment_hOlD.xml,concession_model,concession_model,True,0.554189,0.144361,0.050615,0.35,0.058006,0.05
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_travel_domain_mOmD.xml,concession_model,concession_model,True,0.6075,0.112753,0.039213,0.13,0.046917,0.04
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_travel_domain_lOhD.xml,concession_model,concession_model,True,0.596554,0.155771,0.104367,0.6,0.104265,0.1
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_Supermarket_domain_mOmD.xml,concession_model,concession_model,True,0.576122,0.18624,0.056732,0.15,0.23587,0.18
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_travel_domain_mOlD.xml,concession_model,concession_model,True,0.820684,0.11614,0.072477,0.18,0.098719,0.09
concession_model_Negotiatior,ParsAgent,scenarios_etc_specials_travel_domain_hOhD.xml,concession_model,concession_model,True,0.634168,0.103168,0.036545,0.11,0.104156,0.1
