self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_adg_lOhD.xml,concession_model,concession_model,True,0.602232,0.041041,0.127245,0.14,0.16925,0.12
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,concession_model,concession_model,True,0.894166,0.047353,0.053519,0.12,0.139881,0.1
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,concession_model,concession_model,True,0.596268,0.040429,0.031067,0.19,0.153292,0.11
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,concession_model,concession_model,True,0.959403,0.056917,0.031708,0.1,0.107996,0.06
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_mOmD.xml,concession_model,concession_model,True,0.705237,0.121961,0.207771,0.33,0.112296,0.09
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_lOlD.xml,concession_model,concession_model,True,0.436637,0.09219,0.034227,0.07,0.15838,0.14
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,concession_model,concession_model,True,0.818295,0.036539,0.03,0.05,0.042877,0.03
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_hOmD.xml,concession_model,concession_model,True,0.897708,0.026323,0.054859,0.1,0.065322,0.05
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_adg_lOmD.xml,concession_model,concession_model,True,0.659125,0.016975,0.029371,0.04,0.066249,0.04
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,concession_model,concession_model,True,0.808854,0.045369,0.075827,0.11,0.140872,0.11
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,concession_model,concession_model,True,0.762148,0.032137,0.058774,0.07,0.151023,0.11
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,concession_model,concession_model,True,0.73061,0.068718,0.05273,0.23,0.10828,0.07
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_adg_hOhD.xml,concession_model,concession_model,True,0.776764,0.010841,0.044561,0.11,0.07216,0.06
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_hOhD.xml,concession_model,concession_model,True,0.630136,0.011481,0.031509,0.05,0.072285,0.04
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_hOlD.xml,concession_model,concession_model,True,0.475602,0.059816,0.037393,0.2,0.078849,0.06
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_adg_hOmD.xml,concession_model,concession_model,True,0.723076,0.097952,0.027457,0.04,0.170091,0.16
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,concession_model,concession_model,True,0.530293,0.169834,0.194242,0.46,0.128078,0.1
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_adg_mOlD.xml,concession_model,concession_model,True,0.700103,0.045752,0.028608,0.04,0.136487,0.11
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_adg_mOmD.xml,concession_model,concession_model,True,0.74581,0.042567,0.028712,0.04,0.068813,0.04
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_adg_hOlD.xml,concession_model,concession_model,True,0.607548,0.076165,0.063389,0.55,0.171902,0.13
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_mOlD.xml,concession_model,concession_model,True,0.635136,0.149602,0.080514,0.16,0.179418,0.15
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_adg_mOhD.xml,concession_model,concession_model,True,0.714993,0.082187,0.094143,0.15,0.139059,0.09
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_adg_lOlD.xml,concession_model,concession_model,True,0.627021,0.079823,0.113866,0.15,0.069638,0.05
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_Supermarket_domain_lOhD.xml,concession_model,concession_model,True,0.555849,0.046269,0.073949,0.08,0.115411,0.1
concession_model_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,concession_model,concession_model,True,0.643161,0.050367,0.03,0.06,0.047792,0.03
