self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,concession_model,concession_model,True,0.696174,0.072489,0.030396,0.19,0.085624,0.05
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,concession_model,concession_model,True,0.587491,0.24353,0.030746,0.27,0.090205,0.04
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,concession_model,concession_model,True,0.926992,0.063142,0.030506,0.1,0.082349,0.04
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,concession_model,concession_model,True,0.818992,0.036117,0.030223,0.05,0.04303,0.03
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,concession_model,concession_model,True,0.587491,0.24353,0.030746,0.27,0.090205,0.04
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,concession_model,concession_model,True,0.820127,0.099763,0.030932,0.12,0.076403,0.04
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,concession_model,concession_model,True,0.744886,0.040085,0.030155,0.04,0.071761,0.04
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,concession_model,concession_model,True,0.636951,0.085904,0.030957,0.25,0.038282,0.03
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,concession_model,concession_model,True,0.638957,0.048238,0.030315,0.06,0.05029,0.03
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,concession_model,concession_model,True,0.785495,0.033311,0.030254,0.06,0.04171,0.03
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_adg_mOmD.xml,concession_model,concession_model,True,0.746415,0.040031,0.030441,0.05,0.05251,0.03
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_hOlD.xml,concession_model,concession_model,True,0.496014,0.070868,0.030355,0.23,0.044102,0.03
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_hOhD.xml,concession_model,concession_model,True,0.662587,0.017256,0.030277,0.05,0.049221,0.03
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_adg_lOhD.xml,concession_model,concession_model,True,0.530869,0.040863,0.030247,0.05,0.067305,0.04
concession_model_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_hOmD.xml,concession_model,concession_model,True,0.831941,0.083862,0.030394,0.09,0.055392,0.04
