self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_adg_lOhD.xml,concession_model,concession_model,True,-0.344156,0.487014,0.0,0.0,nan,nan
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,concession_model,concession_model,True,0.643351,0.021842,0.240815,0.29,0.169558,0.15
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,concession_model,concession_model,True,0.78792,0.023892,0.064715,0.08,0.245517,0.24
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,concession_model,concession_model,True,0.88382,0.036697,0.326916,0.49,0.16253,0.16
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,concession_model,concession_model,True,0.590906,0.11934,0.279014,0.58,0.163132,0.14
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,concession_model,concession_model,True,0.824877,0.068945,0.066442,0.12,0.219432,0.22
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,concession_model,concession_model,True,0.619792,0.067819,0.125302,0.48,0.197636,0.19
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,concession_model,concession_model,True,0.928024,0.045494,0.163645,0.33,0.170507,0.16
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,concession_model,concession_model,True,0.853957,0.030959,0.153712,0.36,0.137324,0.13
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_adg_lOmD.xml,concession_model,concession_model,True,0.681341,0.008176,0.082397,0.08,0.112546,0.09
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,concession_model,concession_model,True,0.676304,0.060041,0.041423,0.18,0.201408,0.2
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_lOhD.xml,concession_model,concession_model,True,0.767416,0.021381,0.267783,0.31,0.130192,0.12
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_hOmD.xml,concession_model,concession_model,True,0.852435,0.044214,0.111852,0.23,0.081944,0.07
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_mOhD.xml,concession_model,concession_model,True,0.974601,0.03934,0.059726,0.07,0.072913,0.06
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_mOlD.xml,concession_model,concession_model,True,0.613631,0.104784,0.031952,0.07,0.161436,0.16
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_hOhD.xml,concession_model,concession_model,True,0.616152,0.071081,0.074615,0.1,0.195332,0.2
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_mOmD.xml,concession_model,concession_model,True,0.713349,0.065787,0.066083,0.12,0.125088,0.12
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_adg_mOhD.xml,concession_model,concession_model,True,0.599861,0.021287,0.108809,0.12,0.136153,0.13
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_lOlD.xml,concession_model,concession_model,True,0.384078,0.058423,0.052287,0.07,0.195987,0.18
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_adg_mOmD.xml,concession_model,concession_model,True,0.745292,0.012419,0.033439,0.03,0.075665,0.05
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_hOlD.xml,concession_model,concession_model,True,0.447946,0.114951,0.045764,0.21,0.107373,0.09
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_lOmD.xml,concession_model,concession_model,True,0.451652,0.045116,0.076515,0.12,0.149877,0.14
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_adg_hOhD.xml,concession_model,concession_model,True,0.804114,0.01554,0.080595,0.23,0.107499,0.1
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_adg_lOlD.xml,concession_model,concession_model,True,0.658287,0.055456,0.128592,0.19,0.11546,0.11
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_adg_hOmD.xml,concession_model,concession_model,True,0.655242,0.055303,0.013889,0.02,0.088286,0.08
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_adg_mOlD.xml,concession_model,concession_model,True,0.556554,0.017499,0.03623,0.02,0.163007,0.16
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_Supermarket_domain_mOhD.xml,concession_model,concession_model,True,0.873754,0.025569,0.079247,0.11,0.109612,0.11
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_Supermarket_domain_hOmD.xml,concession_model,concession_model,True,0.646698,0.079291,0.035912,0.08,0.140599,0.14
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_Supermarket_domain_hOhD.xml,concession_model,concession_model,True,0.699321,0.054119,0.07561,0.13,0.129201,0.12
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_adg_hOlD.xml,concession_model,concession_model,True,0.562531,0.048403,0.01945,0.11,0.203215,0.2
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_Supermarket_domain_lOhD.xml,concession_model,concession_model,True,0.548328,0.04485,0.104058,0.13,0.11852,0.1
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_Supermarket_domain_mOmD.xml,concession_model,concession_model,True,0.474003,0.051236,0.034405,0.06,0.07594,0.07
concession_model_Negotiatior,TheFawkes,scenarios_etc_specials_travel_domain_mOhD.xml,concession_model,concession_model,True,0.666339,0.092496,0.048294,0.15,0.070794,0.05
