self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_adg_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.737008,0.30107,0.213566,0.31,0.348736,0.36
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_adg_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.528623,0.065159,0.150584,0.26,0.148794,0.15
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_adg_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.590023,0.07704,0.135107,0.15,0.113181,0.11
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_adg_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.433518,0.133667,0.114466,0.58,0.256153,0.28
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.847926,0.057048,0.068326,0.12,0.12574,0.12
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.914772,0.112267,0.119886,0.38,0.107162,0.1
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_adg_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.738145,0.015931,0.103157,0.26,0.070246,0.06
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_adg_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.671417,0.010242,0.145519,0.17,0.14574,0.14
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.674016,0.125988,0.075061,0.44,0.110414,0.11
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.762857,0.049349,0.047639,0.07,0.196695,0.19
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.551838,0.184258,0.191013,0.9,0.125937,0.12
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.627978,0.043981,0.289394,0.54,0.192242,0.19
monotonic_decreasing_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.827203,0.033784,0.047091,0.07,0.212268,0.2
