self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.613916,0.069751,0.093888,0.1,0.151261,0.11
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.699381,0.010856,0.03025,0.04,0.121394,0.06
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.917679,0.060153,0.06931,0.24,0.173892,0.15
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.649408,0.232242,0.143122,0.32,0.271997,0.22
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.670771,0.151554,0.125848,0.22,0.231429,0.2
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.782628,0.211387,0.185963,0.29,0.265422,0.23
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.800976,0.05632,0.087301,0.1,0.136892,0.1
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.855786,0.081054,0.080388,0.11,0.25171,0.21
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.758663,0.220068,0.121862,0.22,0.214496,0.2
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.800914,0.201207,0.051324,0.2,0.271717,0.27
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.84143,0.31063,0.098602,0.33,0.313804,0.3
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.870508,0.184329,0.094831,0.39,0.16294,0.16
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.905072,0.099329,0.09304,0.16,0.215351,0.19
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.943312,0.078065,0.087894,0.13,0.126045,0.11
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.870222,0.079955,0.235832,0.28,0.131707,0.1
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.842152,0.231354,0.210631,0.52,0.197289,0.17
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.724249,0.243374,0.121408,0.29,0.378734,0.3
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.775034,0.277407,0.13185,0.39,0.324715,0.35
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.488705,0.272827,0.160233,0.41,0.317804,0.28
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.793303,0.17942,0.110464,0.23,0.222033,0.19
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.717285,0.222615,0.096523,0.2,0.246598,0.2
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.638829,0.342192,0.119051,0.28,0.349172,0.28
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.907216,0.038899,0.131053,0.2,0.156635,0.12
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.76966,0.119941,0.11108,0.15,0.241161,0.22
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.978413,0.037733,0.080859,0.15,0.0984,0.08
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.687452,0.352597,0.085004,0.18,0.364644,0.38
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.824862,0.254892,0.127576,0.2,0.221094,0.23
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.579171,0.139686,0.096671,0.1,0.275622,0.24
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.933593,0.164247,0.113429,0.21,0.173184,0.18
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.639125,0.25677,0.116322,0.21,0.276989,0.24
monotonic_decreasing_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.82924,0.270603,0.10443,0.22,0.214616,0.21
