self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.558747,0.024224,0.064724,0.06,0.412155,0.34
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.598457,0.061835,0.085914,0.22,0.272331,0.28
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.516124,0.060299,0.232928,0.46,0.382793,0.39
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.903893,0.039099,0.040723,0.12,0.089765,0.09
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.67045,0.044671,0.274974,0.44,0.262747,0.27
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.561133,0.055326,0.246842,0.56,0.271245,0.28
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.500787,0.088083,0.057269,0.2,0.321502,0.32
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.711361,0.045753,0.376955,0.63,0.402026,0.42
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.570024,0.158442,0.066874,0.31,0.236277,0.24
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.569143,0.051852,0.107971,0.38,0.380065,0.39
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.8035,0.041936,0.200847,0.43,0.085259,0.07
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.214012,0.08014,0.157964,0.21,0.253945,0.24
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.697966,0.124905,0.053131,0.41,0.131076,0.13
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_travel_domain_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.517059,0.018106,0.176561,0.51,0.414851,0.44
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.790176,0.109669,0.026295,0.1,0.036855,0.03
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.743767,0.051448,0.030089,0.04,0.047309,0.03
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.853929,0.093081,0.029153,0.1,0.031753,0.03
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.641321,0.049366,0.03031,0.06,0.047975,0.03
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.786316,0.081163,0.030178,0.06,0.038239,0.03
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.819189,0.035982,0.030161,0.05,0.043342,0.03
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.567777,0.281235,0.013347,0.1,0.031391,0.03
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.732662,0.017458,0.285387,0.36,0.125325,0.12
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.652819,0.078041,0.015734,0.1,0.034977,0.03
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.647181,0.1049,0.013985,0.1,0.03387,0.03
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.748313,0.038616,0.219251,0.36,0.327422,0.34
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.541848,0.067639,0.203923,0.34,0.354041,0.35
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.521376,0.091893,0.063573,0.33,0.2663,0.28
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.803678,0.051034,0.085536,0.19,0.117492,0.11
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.682856,0.010925,0.276595,0.39,0.273592,0.27
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.707246,0.01022,0.0519,0.06,0.132704,0.13
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.762389,0.02473,0.060384,0.09,0.128983,0.13
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.601592,0.079907,0.154479,0.24,0.09142,0.08
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.667501,0.045398,0.101069,0.15,0.26092,0.26
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.658048,0.020419,0.030721,0.06,0.196121,0.2
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.54776,0.057505,0.078616,0.5,0.388808,0.4
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.768387,0.021136,0.133139,0.39,0.17582,0.18
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_Supermarket_domain_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.531022,0.080318,0.095228,0.16,0.232729,0.23
monotonic_decreasing_Negotiatior,CUHKAgent,scenarios_etc_specials_Supermarket_domain_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.39483,0.024865,0.326478,0.43,0.45706,0.47
