self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
monotonic_decreasing_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.585889,0.023739,0.123362,0.12,0.385235,0.34
monotonic_decreasing_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.195751,0.125366,0.0,0.0,nan,nan
monotonic_decreasing_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.153673,0.126645,0.0,0.0,nan,nan
monotonic_decreasing_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.868639,0.032561,0.079989,0.11,0.096105,0.06
monotonic_decreasing_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.714484,0.092478,0.030929,0.13,0.165883,0.1
monotonic_decreasing_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.953407,0.057475,0.049076,0.12,0.128766,0.08
monotonic_decreasing_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.648965,0.049111,0.032618,0.06,0.050329,0.03
monotonic_decreasing_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.814309,0.104892,0.053088,0.15,0.097633,0.06
monotonic_decreasing_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.797865,0.057569,0.121179,0.12,0.094942,0.06
monotonic_decreasing_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.624021,0.140521,0.077028,0.12,0.142859,0.09
