self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.483827,0.276899,0.137339,0.37,0.119765,0.15
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,-0.344156,0.487014,0.0,0.0,nan,nan
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.432651,0.322564,0.189465,0.45,0.325537,0.55
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.499818,0.051753,0.098134,0.09,0.272681,0.3
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.678957,0.448709,0.431017,0.51,0.502476,0.69
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.129062,0.452352,0.0,0.0,nan,nan
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.682202,0.338583,0.401897,0.82,0.31893,0.46
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.278995,0.404191,0.21197,0.74,0.270467,0.37
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.649785,0.14819,0.158261,0.53,0.34402,0.29
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,-0.210779,0.302754,0.0,0.0,nan,nan
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,-0.023019,0.324095,0.0,0.0,nan,nan
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,-0.064445,0.253166,0.0,0.0,nan,nan
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.356949,0.328165,0.247897,0.96,0.26919,0.37
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.601368,0.134565,0.120903,0.14,0.175488,0.2
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.396032,0.391339,0.191077,0.72,0.472518,0.52
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.061789,0.244668,0.0,0.0,nan,nan
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.21716,0.400315,0.321627,0.52,0.288529,0.49
monotonic_decreasing_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.085863,0.38273,0.187179,0.27,0.302242,0.47
