self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.660117,0.153429,0.14149,0.15,0.373403,0.29
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.658399,0.009891,0.027665,0.02,0.311422,0.13
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.678764,0.078873,0.215553,0.2,0.238614,0.14
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.724541,0.316679,0.190518,0.26,0.386879,0.42
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.70008,0.096672,0.206224,0.34,0.271041,0.29
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.878038,0.098945,0.152655,0.19,0.230034,0.24
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.831729,0.073865,0.088066,0.1,0.338766,0.22
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.644358,0.529524,0.258905,0.53,0.604768,0.64
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.639437,0.314675,0.154793,0.23,0.438146,0.47
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.608378,0.100401,0.255427,0.47,0.223179,0.17
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.764241,0.274306,0.120785,0.36,0.24602,0.21
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.812042,0.128019,0.097402,0.14,0.154427,0.09
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.796112,0.157168,0.056081,0.26,0.206178,0.16
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.775213,0.380906,0.22813,0.33,0.361051,0.4
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.867174,0.105811,0.042655,0.11,0.217946,0.17
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.83977,0.052866,0.034297,0.06,0.274014,0.19
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.757344,0.043853,0.11257,0.29,0.123738,0.13
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.686462,0.363242,0.172158,0.53,0.300114,0.26
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.862173,0.259996,0.114518,0.44,0.206006,0.23
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.781623,0.275009,0.113305,0.19,0.27239,0.3
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.828538,0.394038,0.068743,0.51,0.40823,0.45
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_travel_domain_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.691632,0.315369,0.280631,0.96,0.322632,0.36
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.805807,0.096137,0.239256,0.37,0.086206,0.07
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.634887,0.368624,0.204875,0.42,0.349829,0.32
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.853177,0.231883,0.194581,0.36,0.216312,0.2
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.729765,0.143076,0.157884,0.3,0.188603,0.17
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.923717,0.056519,0.104777,0.21,0.150053,0.14
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.796955,0.247455,0.141989,0.3,0.174038,0.19
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.612058,0.222533,0.101166,0.24,0.208613,0.19
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.765316,0.562801,0.163232,0.39,0.653219,0.72
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.647903,0.265766,0.056885,0.22,0.241636,0.21
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.981917,0.073185,0.044361,0.11,0.096247,0.08
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.593045,0.299153,0.145174,0.17,0.280007,0.31
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.975765,0.096083,0.232747,0.46,0.061057,0.05
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.691916,0.403809,0.166094,0.38,0.398694,0.45
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.660716,0.386653,0.101211,0.6,0.30313,0.33
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_travel_domain_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.871144,0.235145,0.231347,0.76,0.204974,0.22
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_travel_domain_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.794743,0.392921,0.137473,0.42,0.441177,0.49
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_travel_domain_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.684883,0.327078,0.08432,0.35,0.473794,0.53
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_travel_domain_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.66669,0.393134,0.206966,0.81,0.364438,0.41
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_travel_domain_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.436233,0.560521,0.185935,0.32,0.614199,0.68
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.798727,0.150821,0.123707,0.36,0.251765,0.27
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_travel_domain_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.781227,0.262641,0.196672,0.87,0.250751,0.28
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_travel_domain_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.639458,0.25349,0.23995,0.69,0.352599,0.39
monotonic_decreasing_Negotiatior,PonPokoAgent,scenarios_etc_specials_travel_domain_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.844889,0.257817,0.186513,0.67,0.160997,0.17
