self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.690915,0.070452,0.017189,0.1,0.087002,0.05
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.928478,0.062712,0.029443,0.1,0.083416,0.04
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.638957,0.048238,0.030567,0.06,0.049686,0.03
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.820134,0.099762,0.02633,0.1,0.077404,0.04
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.588851,0.243105,0.014301,0.1,0.091555,0.04
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.818992,0.036117,0.030223,0.05,0.042899,0.03
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.747096,0.048686,0.030077,0.04,0.072514,0.04
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.636951,0.085904,0.015833,0.1,0.037925,0.03
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.787374,0.036604,0.030294,0.06,0.040908,0.03
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_adg_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.53,0.041448,0.030328,0.05,0.067575,0.04
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_adg_hOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.776916,0.033875,0.02391,0.1,0.045627,0.03
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_adg_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.749717,0.038363,0.030441,0.05,0.052359,0.03
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_adg_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.659797,0.032901,0.03018,0.06,0.071346,0.04
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_adg_hOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.587497,0.063067,0.011899,0.06,0.093593,0.05
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_mOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.668818,0.142144,0.023775,0.1,0.044061,0.03
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_lOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.740808,0.053886,0.030761,0.06,0.070884,0.04
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_lOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.544899,0.191458,0.023673,0.1,0.097821,0.05
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_hOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.831941,0.083862,0.030485,0.09,0.056078,0.04
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.610848,0.112704,0.02885,0.1,0.087359,0.04
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.928486,0.041642,0.030078,0.1,0.056512,0.04
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_adg_mOhD.xml,monotonic_decreasing,monotonic_decreasing,True,0.666097,0.126077,0.030788,0.09,0.091144,0.05
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.539626,0.070639,0.030861,0.09,0.059921,0.04
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_adg_lOmD.xml,monotonic_decreasing,monotonic_decreasing,True,0.670907,0.021274,0.030134,0.04,0.055723,0.03
monotonic_decreasing_Negotiatior,TMFAgent,scenarios_etc_specials_adg_mOlD.xml,monotonic_decreasing,monotonic_decreasing,True,0.633158,0.032817,0.030402,0.04,0.095845,0.05
