self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,stepwise,stepwise,True,0.848776,0.057608,0.041479,0.05,0.080654,0.07
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,stepwise,stepwise,True,0.91487,0.112359,0.116643,0.35,0.089988,0.09
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,stepwise,stepwise,True,0.827178,0.033645,0.014787,0.01,0.050147,0.02
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,stepwise,stepwise,True,0.553048,0.183661,0.167023,0.4,0.058246,0.04
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_adg_hOlD.xml,stepwise,stepwise,True,0.44473,0.138302,0.149409,0.9,0.226909,0.24
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_lOlD.xml,stepwise,stepwise,True,0.040925,0.216646,0.190204,0.29,0.115071,0.11
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_hOmD.xml,stepwise,stepwise,True,0.425375,0.164242,0.123125,0.21,0.195414,0.19
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_mOlD.xml,stepwise,stepwise,True,0.652735,0.116221,0.212191,0.66,0.095033,0.08
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_travel_domain_mOmD.xml,stepwise,stepwise,True,0.393027,0.057023,0.143371,0.3,0.088239,0.08
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,stepwise,stepwise,True,0.765202,0.049367,0.011537,0.0,0.058101,0.03
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,stepwise,stepwise,True,0.674017,0.125988,0.049951,0.21,0.077436,0.07
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,stepwise,stepwise,True,0.97356,0.055271,0.068186,0.08,0.059265,0.05
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,stepwise,stepwise,True,0.628522,0.044179,0.045933,0.01,0.040738,0.01
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,stepwise,stepwise,True,0.760899,0.103183,0.044223,0.12,0.124519,0.1
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_hOmD.xml,stepwise,stepwise,True,0.903722,0.091193,0.128066,0.25,0.113669,0.11
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_mOlD.xml,stepwise,stepwise,True,0.600696,0.274455,0.102453,0.22,0.180506,0.17
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_lOlD.xml,stepwise,stepwise,True,0.594151,0.197636,0.243447,0.59,0.206196,0.18
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_hOlD.xml,stepwise,stepwise,True,0.330444,0.164687,0.1125,0.3,0.192,0.2
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_mOmD.xml,stepwise,stepwise,True,0.734753,0.187342,0.210363,0.5,0.143408,0.14
stepwise_Negotiatior,Atlas3,scenarios_etc_specials_thompson_employment_hOhD.xml,stepwise,stepwise,True,0.594672,0.030127,0.031165,0.03,0.078794,0.05
