self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_lOhD.xml,stepwise,stepwise,True,0.613918,0.069755,0.018243,0.0,0.122415,0.07
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_lOmD.xml,stepwise,stepwise,True,0.699371,0.010852,0.002859,0.0,0.078634,0.02
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,stepwise,stepwise,True,0.917676,0.060238,0.018479,0.0,0.111238,0.09
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,stepwise,stepwise,True,0.782628,0.211392,0.02425,0.01,0.208006,0.17
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,stepwise,stepwise,True,0.855654,0.081085,0.022207,0.01,0.180817,0.14
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_lOlD.xml,stepwise,stepwise,True,0.670893,0.151714,0.086417,0.05,0.185436,0.14
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,stepwise,stepwise,True,0.907143,0.038609,0.031331,0.01,0.106704,0.06
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_mOhD.xml,stepwise,stepwise,True,0.758809,0.220344,0.085615,0.07,0.17659,0.15
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_hOhD.xml,stepwise,stepwise,True,0.841896,0.222724,0.038205,0.02,0.167758,0.13
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_hOhD.xml,stepwise,stepwise,True,0.870595,0.18439,0.078633,0.15,0.137667,0.12
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_lOmD.xml,stepwise,stepwise,True,0.724018,0.223332,0.043122,0.03,0.281444,0.2
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_mOmD.xml,stepwise,stepwise,True,0.78721,0.186555,0.067709,0.05,0.17661,0.14
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_lOmD.xml,stepwise,stepwise,True,0.488647,0.272715,0.099124,0.1,0.248892,0.2
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_hOlD.xml,stepwise,stepwise,True,0.687552,0.352233,0.078208,0.07,0.29329,0.28
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_hOmD.xml,stepwise,stepwise,True,0.933631,0.164773,0.094591,0.09,0.132116,0.12
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,stepwise,stepwise,True,0.93948,0.079413,0.027787,0.02,0.064714,0.05
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_lOhD.xml,stepwise,stepwise,True,0.870307,0.080065,0.038687,0.01,0.104248,0.07
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,stepwise,stepwise,True,0.801052,0.201254,0.024215,0.01,0.210182,0.19
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,stepwise,stepwise,True,0.841479,0.31073,0.03563,0.03,0.247637,0.22
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,stepwise,stepwise,True,0.645087,0.201062,0.032757,0.02,0.188317,0.13
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_mOlD.xml,stepwise,stepwise,True,0.718867,0.223748,0.090189,0.1,0.212897,0.16
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_lOlD.xml,stepwise,stepwise,True,0.638828,0.341285,0.075754,0.07,0.291056,0.22
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,stepwise,stepwise,True,0.900893,0.099308,0.027729,0.01,0.14225,0.12
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_mOmD.xml,stepwise,stepwise,True,0.799384,0.055325,0.039344,0.01,0.109731,0.07
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_mOlD.xml,stepwise,stepwise,True,0.76965,0.119958,0.094027,0.07,0.209403,0.18
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_thompson_employment_mOhD.xml,stepwise,stepwise,True,0.978558,0.038201,0.043851,0.02,0.063387,0.04
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_hOlD.xml,stepwise,stepwise,True,0.775282,0.280732,0.157665,0.47,0.288543,0.29
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_lOhD.xml,stepwise,stepwise,True,0.579591,0.14182,0.110915,0.09,0.23136,0.18
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_adg_hOmD.xml,stepwise,stepwise,True,0.822633,0.136551,0.15401,0.23,0.191822,0.19
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_mOmD.xml,stepwise,stepwise,True,0.637957,0.25488,0.128587,0.19,0.235134,0.18
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_hOhD.xml,stepwise,stepwise,True,0.828558,0.267407,0.094417,0.12,0.171278,0.15
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_hOlD.xml,stepwise,stepwise,True,0.567573,0.438813,0.124814,0.22,0.461295,0.46
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_lOlD.xml,stepwise,stepwise,True,0.573793,0.347663,0.141854,0.14,0.253869,0.28
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_mOlD.xml,stepwise,stepwise,True,0.667,0.398353,0.14008,0.28,0.295799,0.32
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_mOhD.xml,stepwise,stepwise,True,0.848562,0.035742,0.063751,0.05,0.082794,0.06
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_travel_domain_mOhD.xml,stepwise,stepwise,True,0.786301,0.19077,0.115209,0.27,0.117839,0.08
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_Supermarket_domain_hOmD.xml,stepwise,stepwise,True,0.830215,0.252173,0.095132,0.13,0.215482,0.24
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_travel_domain_lOmD.xml,stepwise,stepwise,True,0.671312,0.226242,0.168445,0.42,0.20733,0.16
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_travel_domain_mOmD.xml,stepwise,stepwise,True,0.71005,0.233311,0.11979,0.28,0.242483,0.21
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_travel_domain_lOhD.xml,stepwise,stepwise,True,0.714135,0.27887,0.180999,0.58,0.219619,0.2
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_travel_domain_mOlD.xml,stepwise,stepwise,True,0.873738,0.249785,0.153504,0.37,0.157813,0.15
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_travel_domain_hOhD.xml,stepwise,stepwise,True,0.922959,0.280406,0.162915,0.52,0.207917,0.21
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_travel_domain_hOmD.xml,stepwise,stepwise,True,0.673887,0.302711,0.117489,0.23,0.257421,0.23
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_travel_domain_hOlD.xml,stepwise,stepwise,True,0.571328,0.169869,0.119087,0.23,0.287277,0.3
stepwise_Negotiatior,BoulwareTBNegotiator,scenarios_etc_specials_travel_domain_lOlD.xml,stepwise,stepwise,True,0.301479,0.189639,0.152342,0.21,0.384029,0.37
