self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_lOhD.xml,stepwise,stepwise,True,0.561834,0.016758,0.034923,0.01,0.184461,0.08
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,stepwise,stepwise,True,0.641321,0.049366,0.003923,0.0,0.035795,0.0
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,stepwise,stepwise,True,0.74466,0.056951,0.001485,0.0,0.035708,0.0
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,stepwise,stepwise,True,0.647181,0.1049,0.006652,0.0,0.014051,0.0
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_mOhD.xml,stepwise,stepwise,True,0.681938,0.010822,0.100068,0.06,0.078495,0.02
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_hOhD.xml,stepwise,stepwise,True,0.754544,0.037111,0.090329,0.06,0.104602,0.04
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_mOlD.xml,stepwise,stepwise,True,0.65925,0.044571,0.044797,0.02,0.087844,0.02
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_lOlD.xml,stepwise,stepwise,True,0.602211,0.080492,0.095944,0.1,0.066779,0.02
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_hOmD.xml,stepwise,stepwise,True,0.804512,0.050565,0.034792,0.03,0.043234,0.01
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_hOlD.xml,stepwise,stepwise,True,0.521051,0.085016,0.02336,0.05,0.093606,0.05
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_adg_hOlD.xml,stepwise,stepwise,True,0.540219,0.060048,0.043311,0.13,0.143475,0.06
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_lOhD.xml,stepwise,stepwise,True,0.730068,0.017823,0.097304,0.05,0.05195,0.01
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_lOlD.xml,stepwise,stepwise,True,0.54317,0.065467,0.085485,0.06,0.120358,0.04
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_mOhD.xml,stepwise,stepwise,True,0.904826,0.039586,0.014844,0.01,0.047361,0.03
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_thompson_employment_mOmD.xml,stepwise,stepwise,True,0.671066,0.044636,0.112448,0.09,0.098274,0.05
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_Supermarket_domain_lOhD.xml,stepwise,stepwise,True,0.512944,0.091639,0.069971,0.07,0.074575,0.04
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,stepwise,stepwise,True,0.785381,0.076735,0.00214,0.0,0.021973,0.0
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,stepwise,stepwise,True,0.855276,0.095147,0.0,0.0,0.008639,0.0
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,stepwise,stepwise,True,0.650134,0.080389,0.002631,0.0,0.018026,0.0
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,stepwise,stepwise,True,0.790176,0.109669,0.007044,0.0,0.019194,0.0
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,stepwise,stepwise,True,0.57093,0.315744,0.003805,0.0,0.008745,0.0
stepwise_Negotiatior,CUHKAgent,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,stepwise,stepwise,True,0.819672,0.02564,0.001685,0.0,0.029675,0.0
