self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_hOhD.xml,stepwise,stepwise,True,0.952409,0.499532,0.225803,0.92,0.3106,0.51
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_lOhD.xml,stepwise,stepwise,True,-0.344156,0.487014,0.0,0.0,0.702157,0.85
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_lOlD.xml,stepwise,stepwise,True,0.918904,0.596131,0.255822,0.33,0.421488,0.59
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_lOmD.xml,stepwise,stepwise,True,0.054799,0.482923,0.443623,0.65,0.620618,0.69
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_mOlD.xml,stepwise,stepwise,True,0.397483,0.443232,0.353918,0.77,0.458219,0.51
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_mOhD.xml,stepwise,stepwise,True,0.9303,0.541771,0.283484,0.61,0.321703,0.46
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,stepwise,stepwise,True,0.84154,0.160359,0.273706,0.97,0.248024,0.28
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_mOmD.xml,stepwise,stepwise,True,0.899944,0.177355,0.237856,0.3,0.385514,0.45
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_hOlD.xml,stepwise,stepwise,True,0.796433,0.501131,0.39946,1.75,0.329823,0.59
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,stepwise,stepwise,True,0.859458,0.33393,0.229041,0.62,0.288693,0.35
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,stepwise,stepwise,True,0.470286,0.094049,0.070973,0.04,0.344271,0.37
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,stepwise,stepwise,True,0.50289,0.402735,0.230773,0.55,0.284416,0.37
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,stepwise,stepwise,True,0.559087,0.315931,0.098609,0.17,0.207196,0.33
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,stepwise,stepwise,True,0.669756,0.242005,0.135777,0.27,0.245087,0.32
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,stepwise,stepwise,True,0.740993,0.429951,0.158534,0.35,0.302359,0.42
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,stepwise,stepwise,True,0.731336,0.377741,0.176471,0.33,0.28591,0.4
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_adg_hOmD.xml,stepwise,stepwise,True,0.830742,0.589232,0.349359,1.22,0.292814,0.54
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,stepwise,stepwise,True,0.610542,0.141733,0.062425,0.08,0.242054,0.38
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_thompson_employment_hOhD.xml,stepwise,stepwise,True,0.820311,0.461031,0.263336,0.59,0.288441,0.35
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_Supermarket_domain_lOhD.xml,stepwise,stepwise,True,0.675188,0.67829,0.225526,0.46,0.405796,0.55
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_thompson_employment_lOhD.xml,stepwise,stepwise,True,0.743358,0.421771,0.249943,0.41,0.205947,0.21
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_Supermarket_domain_lOmD.xml,stepwise,stepwise,True,0.20063,0.231802,0.329562,0.65,0.367366,0.42
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_thompson_employment_lOlD.xml,stepwise,stepwise,True,0.631629,0.361647,0.3009,0.99,0.283839,0.32
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_thompson_employment_lOmD.xml,stepwise,stepwise,True,0.856193,0.472555,0.374454,0.76,0.321913,0.38
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_thompson_employment_mOhD.xml,stepwise,stepwise,True,0.935152,0.29246,0.187952,0.33,0.254462,0.31
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_thompson_employment_mOmD.xml,stepwise,stepwise,True,0.879278,0.508823,0.30193,0.64,0.350894,0.45
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_thompson_employment_hOmD.xml,stepwise,stepwise,True,0.880682,0.502317,0.257575,0.56,0.25622,0.42
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_thompson_employment_mOlD.xml,stepwise,stepwise,True,0.776097,0.562538,0.277168,0.67,0.354885,0.58
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_thompson_employment_hOlD.xml,stepwise,stepwise,True,-0.46919,0.517497,0.183089,0.32,0.289162,0.56
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_Supermarket_domain_mOmD.xml,stepwise,stepwise,True,0.820488,0.652951,0.289626,0.69,0.394034,0.61
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_Supermarket_domain_hOhD.xml,stepwise,stepwise,True,0.764236,0.508033,0.221651,0.54,0.264483,0.32
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_travel_domain_mOhD.xml,stepwise,stepwise,True,0.693201,0.278098,0.324756,1.36,0.21704,0.23
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_Supermarket_domain_hOlD.xml,stepwise,stepwise,True,0.068863,0.618347,0.231959,0.45,0.334695,0.63
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_Supermarket_domain_mOhD.xml,stepwise,stepwise,True,0.561496,0.287113,0.178106,0.28,0.170386,0.29
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_travel_domain_hOmD.xml,stepwise,stepwise,True,0.789039,0.571968,0.252071,0.72,0.347472,0.57
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_travel_domain_lOmD.xml,stepwise,stepwise,True,0.753372,0.581734,0.31177,1.12,0.359886,0.55
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_travel_domain_mOmD.xml,stepwise,stepwise,True,0.735434,0.593113,0.311089,1.35,0.357022,0.54
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_travel_domain_hOhD.xml,stepwise,stepwise,True,0.890912,0.537281,0.282503,1.35,0.300874,0.47
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_Supermarket_domain_lOlD.xml,stepwise,stepwise,True,0.184618,0.726003,0.274453,0.41,0.293788,0.58
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_travel_domain_lOhD.xml,stepwise,stepwise,True,0.842125,0.609448,0.311965,1.41,0.324017,0.53
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_Supermarket_domain_mOlD.xml,stepwise,stepwise,True,0.25859,0.591328,0.284958,0.48,0.323516,0.62
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_travel_domain_mOlD.xml,stepwise,stepwise,True,0.907882,0.57272,0.278997,0.61,0.296232,0.51
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_travel_domain_hOlD.xml,stepwise,stepwise,True,-0.550526,0.180934,0.22752,0.43,0.240122,0.48
stepwise_Negotiatior,ConcederTBNegotiator,scenarios_etc_specials_Supermarket_domain_hOmD.xml,stepwise,stepwise,True,-0.321705,0.372479,0.179126,0.32,0.14737,0.31
