self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_lOhD.xml,stepwise,stepwise,True,0.553579,0.014455,0.04174,0.01,0.154974,0.06
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_hOmD.xml,stepwise,stepwise,True,0.195751,0.125366,0.0,0.0,nan,nan
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_lOlD.xml,stepwise,stepwise,True,0.153673,0.126645,0.0,0.0,nan,nan
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,stepwise,stepwise,True,0.868786,0.032656,0.024832,0.01,0.058292,0.02
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,stepwise,stepwise,True,0.827215,0.072809,0.0226,0.01,0.090986,0.04
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,stepwise,stepwise,True,0.810809,0.106037,0.004983,0.0,0.033171,0.0
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,stepwise,stepwise,True,0.9534,0.057451,0.022196,0.01,0.064365,0.03
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,stepwise,stepwise,True,0.659943,0.049575,0.014892,0.0,0.043286,0.0
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,stepwise,stepwise,True,0.568118,0.290512,0.005087,0.0,0.011441,0.0
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,stepwise,stepwise,True,0.743345,0.05216,0.00108,0.0,0.034582,0.0
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_lOhD.xml,stepwise,stepwise,True,0.798138,0.057986,0.031729,0.01,0.06685,0.02
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_hOmD.xml,stepwise,stepwise,True,0.757115,0.064146,0.080694,0.06,0.113322,0.06
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_mOmD.xml,stepwise,stepwise,True,0.762257,0.024505,0.031065,0.01,0.062192,0.04
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_hOhD.xml,stepwise,stepwise,True,0.726464,0.037562,0.090883,0.06,0.106636,0.05
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_lOlD.xml,stepwise,stepwise,True,0.546036,0.068147,0.09355,0.07,0.127704,0.04
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_hOlD.xml,stepwise,stepwise,True,0.510265,0.090764,0.011394,0.01,0.062683,0.01
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_mOhD.xml,stepwise,stepwise,True,0.956354,0.052724,0.034229,0.01,0.056917,0.02
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_lOmD.xml,stepwise,stepwise,True,0.53397,0.114242,0.026888,0.01,0.054782,0.01
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_mOmD.xml,stepwise,stepwise,True,0.670724,0.044008,0.111142,0.08,0.099027,0.05
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,stepwise,stepwise,True,0.715568,0.093836,0.015595,0.01,0.126004,0.06
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_hOmD.xml,stepwise,stepwise,True,0.708676,0.075483,0.058235,0.06,0.145517,0.09
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_lOlD.xml,stepwise,stepwise,True,0.49076,0.102443,0.08116,0.04,0.162948,0.1
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_mOlD.xml,stepwise,stepwise,True,0.504463,0.109001,0.069844,0.1,0.191532,0.12
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_hOlD.xml,stepwise,stepwise,True,0.391363,0.134929,0.034663,0.19,0.179654,0.15
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_lOmD.xml,stepwise,stepwise,True,0.491736,0.243154,0.182319,0.34,0.225633,0.19
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_mOmD.xml,stepwise,stepwise,True,0.541464,0.181807,0.03954,0.08,0.092605,0.06
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_lOhD.xml,stepwise,stepwise,True,0.554126,0.107543,0.081765,0.1,0.137377,0.1
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_lOmD.xml,stepwise,stepwise,True,0.731952,0.018961,0.002475,0.0,0.066325,0.03
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,stepwise,stepwise,True,0.666199,0.132276,0.021175,0.01,0.056382,0.01
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_lOmD.xml,stepwise,stepwise,True,0.642545,0.157107,0.093507,0.13,0.117086,0.05
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_lOlD.xml,stepwise,stepwise,True,0.624403,0.140897,0.051595,0.02,0.110323,0.05
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_mOlD.xml,stepwise,stepwise,True,0.69301,0.067566,0.058766,0.02,0.134002,0.06
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_hOmD.xml,stepwise,stepwise,True,0.880123,0.100147,0.054062,0.03,0.088457,0.04
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_hOlD.xml,stepwise,stepwise,True,0.635279,0.094671,0.085459,0.14,0.176825,0.1
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_hOlD.xml,stepwise,stepwise,True,0.599785,0.075534,0.015203,0.02,0.14882,0.12
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_hOhD.xml,stepwise,stepwise,True,0.769859,0.062079,0.017793,0.01,0.040365,0.01
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_thompson_employment_mOlD.xml,stepwise,stepwise,True,0.602008,0.062678,0.038129,0.03,0.089328,0.04
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_adg_mOhD.xml,stepwise,stepwise,True,0.676223,0.15622,0.030157,0.01,0.04615,0.01
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_mOhD.xml,stepwise,stepwise,True,0.913179,0.017244,0.040191,0.02,0.057811,0.02
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_Supermarket_domain_hOhD.xml,stepwise,stepwise,True,0.832691,0.187175,0.054845,0.04,0.138252,0.07
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_lOhD.xml,stepwise,stepwise,True,0.627867,0.182293,0.092964,0.18,0.125902,0.06
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_mOmD.xml,stepwise,stepwise,True,0.669177,0.154659,0.074065,0.11,0.164548,0.11
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_hOhD.xml,stepwise,stepwise,True,0.802635,0.084825,0.100973,0.2,0.154106,0.09
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_mOlD.xml,stepwise,stepwise,True,0.805873,0.084443,0.108081,0.29,0.08496,0.06
stepwise_Negotiatior,MetaAgent2013,scenarios_etc_specials_travel_domain_mOhD.xml,stepwise,stepwise,True,0.773436,0.156398,0.087297,0.54,0.089339,0.06
