self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_adg_lOmD.xml,stepwise,stepwise,True,0.739228,0.072088,0.139838,0.13,0.349563,0.21
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,stepwise,stepwise,True,0.904965,0.152282,0.245035,0.76,0.196855,0.2
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_adg_lOhD.xml,stepwise,stepwise,True,0.640875,0.161323,0.146546,0.16,0.182405,0.14
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,stepwise,stepwise,True,0.97466,0.199599,0.239666,0.87,0.187098,0.22
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,stepwise,stepwise,True,0.938276,0.259894,0.163934,0.45,0.311015,0.36
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,stepwise,stepwise,True,0.66616,0.26931,0.291164,0.91,0.254858,0.25
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,stepwise,stepwise,True,0.761241,0.14471,0.239404,0.37,0.250489,0.2
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,stepwise,stepwise,True,0.803354,0.110925,0.155524,0.19,0.281739,0.26
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,stepwise,stepwise,True,0.912467,0.068379,0.318887,0.92,0.185211,0.16
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,stepwise,stepwise,True,0.919217,0.130301,0.196071,0.35,0.226003,0.25
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,stepwise,stepwise,True,0.803343,0.25777,0.281698,1.46,0.28147,0.27
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_adg_mOmD.xml,stepwise,stepwise,True,0.888627,0.101858,0.19199,0.24,0.194392,0.19
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_lOhD.xml,stepwise,stepwise,True,0.884186,0.148951,0.251334,0.4,0.167875,0.13
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_adg_mOhD.xml,stepwise,stepwise,True,0.695308,0.257131,0.228209,0.46,0.215809,0.22
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_hOhD.xml,stepwise,stepwise,True,0.809462,0.191872,0.221771,0.5,0.216595,0.22
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_mOmD.xml,stepwise,stepwise,True,0.744737,0.220108,0.249028,0.6,0.20135,0.2
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_mOhD.xml,stepwise,stepwise,True,0.986667,0.190653,0.250209,0.56,0.161155,0.18
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_hOmD.xml,stepwise,stepwise,True,0.898599,0.197414,0.165702,0.32,0.154061,0.17
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_mOlD.xml,stepwise,stepwise,True,0.798736,0.389989,0.227543,0.71,0.332431,0.34
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_lOmD.xml,stepwise,stepwise,True,0.792462,0.440589,0.248866,0.96,0.417502,0.42
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_thompson_employment_lOlD.xml,stepwise,stepwise,True,0.770154,0.5005,0.236472,0.59,0.46491,0.47
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_Supermarket_domain_lOhD.xml,stepwise,stepwise,True,0.591421,0.253273,0.142023,0.22,0.265799,0.25
stepwise_Negotiatior,MiCRO,scenarios_etc_specials_adg_mOlD.xml,stepwise,stepwise,True,0.770758,0.169986,0.237497,0.37,0.272346,0.28
