self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_hOhD.xml,stepwise,stepwise,True,0.477505,0.19339,0.147612,0.4,0.223673,0.34
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_lOhD.xml,stepwise,stepwise,True,-0.344156,0.487014,0.0,0.0,nan,nan
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_lOmD.xml,stepwise,stepwise,True,0.474452,0.051532,0.10704,0.09,0.268435,0.3
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_mOhD.xml,stepwise,stepwise,True,0.42554,0.284502,0.048994,0.08,0.238368,0.36
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_mOmD.xml,stepwise,stepwise,True,0.129062,0.452352,0.0,0.0,nan,nan
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,stepwise,stepwise,True,0.577565,0.281454,0.352427,1.02,0.232227,0.28
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_mOlD.xml,stepwise,stepwise,True,0.649373,0.453954,0.372319,0.46,0.38191,0.49
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_mOlD.xml,stepwise,stepwise,True,0.727688,0.16562,0.38326,0.51,0.397557,0.5
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,stepwise,stepwise,True,0.188974,0.281652,0.185403,0.52,0.257875,0.35
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_lOhD.xml,stepwise,stepwise,True,-0.210779,0.302754,0.0,0.0,nan,nan
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_lOmD.xml,stepwise,stepwise,True,-0.023019,0.324095,0.0,0.0,nan,nan
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_hOhD.xml,stepwise,stepwise,True,-0.064445,0.253166,0.0,0.0,nan,nan
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,stepwise,stepwise,True,0.637544,0.12993,0.150325,0.31,0.188538,0.14
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_lOlD.xml,stepwise,stepwise,True,0.329543,0.321798,0.020181,0.02,0.077297,0.11
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_lOhD.xml,stepwise,stepwise,True,0.628421,0.099477,0.101737,0.11,0.170002,0.2
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_lOmD.xml,stepwise,stepwise,True,0.392284,0.44135,0.104408,0.25,0.370212,0.43
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_mOmD.xml,stepwise,stepwise,True,0.061789,0.244668,0.0,0.0,nan,nan
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_mOlD.xml,stepwise,stepwise,True,0.092432,0.383857,0.197587,0.33,0.22748,0.29
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_mOmD.xml,stepwise,stepwise,True,0.257797,0.455734,0.324627,0.55,0.209859,0.32
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_mOhD.xml,stepwise,stepwise,True,-0.010084,0.161086,0.0,0.0,nan,nan
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_mOmD.xml,stepwise,stepwise,True,0.339004,0.172628,0.168752,0.92,0.102885,0.12
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_lOmD.xml,stepwise,stepwise,True,0.37197,0.400845,0.276916,1.12,0.235535,0.27
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_lOhD.xml,stepwise,stepwise,True,0.53129,0.483567,0.244508,1.43,0.352853,0.42
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_hOmD.xml,stepwise,stepwise,True,0.854497,0.298773,0.196499,0.39,0.216447,0.24
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_travel_domain_hOhD.xml,stepwise,stepwise,True,0.715451,0.29821,0.195208,1.2,0.228304,0.22
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,stepwise,stepwise,True,0.673037,0.066311,0.019333,0.0,0.09132,0.1
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,stepwise,stepwise,True,0.061392,0.349789,0.003189,0.0,0.480604,0.93
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,stepwise,stepwise,True,0.238224,0.147522,0.003239,0.0,0.262028,0.35
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,stepwise,stepwise,True,0.848974,0.0834,0.013984,0.0,0.033189,0.01
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,stepwise,stepwise,True,0.437485,0.093068,0.001033,0.0,0.157045,0.19
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,stepwise,stepwise,True,0.69563,0.085731,0.00863,0.0,0.12846,0.15
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_mOhD.xml,stepwise,stepwise,True,0.563147,0.121812,0.005206,0.0,0.290951,0.41
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_lOlD.xml,stepwise,stepwise,True,0.441839,0.168963,0.05445,0.03,0.126416,0.13
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_hOmD.xml,stepwise,stepwise,True,0.305004,0.050828,0.093217,0.09,0.331509,0.47
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_thompson_employment_hOlD.xml,stepwise,stepwise,True,0.344733,0.048626,0.009619,0.0,0.157408,0.18
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_adg_hOlD.xml,stepwise,stepwise,True,0.919062,0.465003,0.359425,2.12,0.445457,0.63
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_hOhD.xml,stepwise,stepwise,True,0.790645,0.350994,0.18464,0.51,0.239075,0.27
stepwise_Negotiatior,NaiveTitForTatNegotiator,scenarios_etc_specials_Supermarket_domain_mOhD.xml,stepwise,stepwise,True,0.757752,0.104905,0.035867,0.01,0.057354,0.04
