self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_lOhD.xml,stepwise,stepwise,True,0.638267,0.143794,0.158619,0.18,0.353897,0.25
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_lOmD.xml,stepwise,stepwise,True,0.663634,0.009882,0.041849,0.03,0.306367,0.14
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,stepwise,stepwise,True,0.680734,0.084475,0.171917,0.13,0.150998,0.06
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_lOmD.xml,stepwise,stepwise,True,0.596352,0.483226,0.305339,0.76,0.482429,0.48
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_mOhD.xml,stepwise,stepwise,True,0.697173,0.093698,0.22432,0.44,0.229107,0.24
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,stepwise,stepwise,True,0.831414,0.071871,0.029857,0.01,0.18839,0.12
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_lOhD.xml,stepwise,stepwise,True,0.645003,0.325577,0.180642,0.27,0.380939,0.4
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_lOlD.xml,stepwise,stepwise,True,0.735298,0.332897,0.224683,0.33,0.343585,0.37
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_mOmD.xml,stepwise,stepwise,True,0.879005,0.102222,0.173897,0.21,0.195973,0.2
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,stepwise,stepwise,True,0.793137,0.153999,0.04174,0.09,0.153318,0.11
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_lOlD.xml,stepwise,stepwise,True,0.642141,0.36031,0.214728,0.48,0.324188,0.28
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,stepwise,stepwise,True,0.607229,0.101026,0.138611,0.21,0.144055,0.09
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_hOhD.xml,stepwise,stepwise,True,0.853308,0.229766,0.201072,0.44,0.175364,0.14
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_hOmD.xml,stepwise,stepwise,True,0.91771,0.054081,0.101363,0.17,0.122067,0.1
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_mOmD.xml,stepwise,stepwise,True,0.726673,0.143647,0.175744,0.36,0.147146,0.13
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,stepwise,stepwise,True,0.763945,0.274617,0.142474,0.54,0.199141,0.17
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_hOmD.xml,stepwise,stepwise,True,0.780675,0.270202,0.129807,0.21,0.240652,0.26
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_adg_hOhD.xml,stepwise,stepwise,True,0.865489,0.257637,0.134021,0.58,0.183118,0.2
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_mOlD.xml,stepwise,stepwise,True,0.604468,0.22257,0.11549,0.27,0.159044,0.13
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_thompson_employment_hOlD.xml,stepwise,stepwise,True,0.648336,0.270732,0.069559,0.28,0.236092,0.2
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_hOlD.xml,stepwise,stepwise,True,0.766084,0.563224,0.187245,0.53,0.641476,0.71
stepwise_Negotiatior,PonPokoAgent,scenarios_etc_specials_Supermarket_domain_mOmD.xml,stepwise,stepwise,True,0.692655,0.404634,0.191951,0.51,0.343627,0.37
