self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_adg_lOhD.xml,stepwise,stepwise,True,0.602233,0.041041,0.005826,0.0,0.134118,0.08
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,stepwise,stepwise,True,0.894539,0.048337,0.010239,0.0,0.078494,0.06
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,stepwise,stepwise,True,0.959676,0.055516,0.005548,0.0,0.052153,0.02
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,stepwise,stepwise,True,0.594806,0.184382,0.017308,0.0,0.107224,0.05
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,stepwise,stepwise,True,0.818295,0.036539,0.0,0.0,0.028938,0.0
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,stepwise,stepwise,True,0.593977,0.040235,0.013315,0.0,0.059833,0.03
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,stepwise,stepwise,True,0.8083,0.043813,0.013379,0.0,0.031807,0.01
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_adg_hOmD.xml,stepwise,stepwise,True,0.73138,0.092884,0.0089,0.0,0.097395,0.07
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_adg_hOhD.xml,stepwise,stepwise,True,0.780679,0.015306,0.003377,0.0,0.030009,0.01
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_adg_hOlD.xml,stepwise,stepwise,True,0.609498,0.090397,0.012607,0.01,0.116197,0.08
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_adg_lOmD.xml,stepwise,stepwise,True,0.657851,0.016832,0.000586,0.0,0.047354,0.01
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,stepwise,stepwise,True,0.643161,0.050367,0.0,0.0,0.035516,0.0
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,stepwise,stepwise,True,0.643161,0.050367,0.0,0.0,0.035516,0.0
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_lOlD.xml,stepwise,stepwise,True,0.438954,0.092694,0.009605,0.0,0.098434,0.08
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_Supermarket_domain_lOhD.xml,stepwise,stepwise,True,0.555863,0.046656,0.010843,0.0,0.070017,0.05
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_adg_lOlD.xml,stepwise,stepwise,True,0.626849,0.095215,0.009866,0.0,0.040351,0.02
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_adg_mOhD.xml,stepwise,stepwise,True,0.713859,0.08349,0.011112,0.0,0.079386,0.04
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_mOmD.xml,stepwise,stepwise,True,0.705296,0.122333,0.024385,0.01,0.079736,0.05
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_lOhD.xml,stepwise,stepwise,True,0.753368,0.018225,0.009176,0.0,0.0458,0.02
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_hOlD.xml,stepwise,stepwise,True,0.486552,0.069,0.018722,0.01,0.029999,0.01
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_mOhD.xml,stepwise,stepwise,True,0.973374,0.024893,0.006246,0.0,0.061076,0.03
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_mOlD.xml,stepwise,stepwise,True,0.633436,0.177237,0.045298,0.01,0.119067,0.09
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_Supermarket_domain_lOmD.xml,stepwise,stepwise,True,0.404109,0.083524,0.005617,0.0,0.063627,0.05
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_Supermarket_domain_hOhD.xml,stepwise,stepwise,True,0.692234,0.050364,0.002179,0.0,0.057004,0.04
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_Supermarket_domain_hOmD.xml,stepwise,stepwise,True,0.743295,0.042919,0.0109,0.0,0.049562,0.03
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_Supermarket_domain_mOhD.xml,stepwise,stepwise,True,0.803188,0.016232,0.000908,0.0,0.035831,0.01
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_Supermarket_domain_mOmD.xml,stepwise,stepwise,True,0.494843,0.090046,0.034366,0.01,0.081737,0.04
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_Supermarket_domain_lOlD.xml,stepwise,stepwise,True,0.549459,0.053262,0.009232,0.0,0.085578,0.07
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,stepwise,stepwise,True,0.730969,0.070106,0.025686,0.01,0.072522,0.04
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_travel_domain_hOlD.xml,stepwise,stepwise,True,0.594895,0.075681,0.009316,0.01,0.141784,0.11
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_travel_domain_lOmD.xml,stepwise,stepwise,True,0.668453,0.117605,0.021067,0.01,0.08893,0.07
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_travel_domain_hOmD.xml,stepwise,stepwise,True,0.523627,0.065679,0.050132,0.02,0.054224,0.04
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_travel_domain_lOhD.xml,stepwise,stepwise,True,0.686641,0.100344,0.030769,0.01,0.077522,0.06
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_travel_domain_lOlD.xml,stepwise,stepwise,True,0.309637,0.066511,0.020911,0.01,0.090723,0.06
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_travel_domain_mOmD.xml,stepwise,stepwise,True,0.549625,0.03154,0.006184,0.0,0.048915,0.03
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,stepwise,stepwise,True,0.762147,0.032136,0.002925,0.0,0.079937,0.05
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_travel_domain_hOhD.xml,stepwise,stepwise,True,0.697894,0.069581,0.002891,0.0,0.044646,0.03
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_hOhD.xml,stepwise,stepwise,True,0.622381,0.009933,0.009826,0.0,0.041311,0.01
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_adg_mOlD.xml,stepwise,stepwise,True,0.700224,0.04605,0.000445,0.0,0.099334,0.07
stepwise_Negotiatior,RandomDance,scenarios_etc_specials_thompson_employment_lOmD.xml,stepwise,stepwise,True,0.490978,0.067837,0.003756,0.0,0.05747,0.02
