self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,stepwise,stepwise,True,0.692809,0.071246,0.005065,0.0,0.041402,0.01
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,stepwise,stepwise,True,0.818992,0.036117,0.003267,0.0,0.028982,0.0
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,stepwise,stepwise,True,0.587492,0.243528,0.006952,0.0,0.055684,0.01
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,stepwise,stepwise,True,0.749042,0.049165,0.001751,0.0,0.043337,0.01
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,stepwise,stepwise,True,0.778948,0.024368,0.003274,0.0,0.022186,0.0
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_adg_lOhD.xml,stepwise,stepwise,True,0.53219,0.03977,0.003553,0.0,0.046659,0.01
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_hOhD.xml,stepwise,stepwise,True,0.662972,0.01735,0.003637,0.0,0.033813,0.0
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_lOlD.xml,stepwise,stepwise,True,0.531982,0.191503,0.00587,0.0,0.062352,0.01
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_hOmD.xml,stepwise,stepwise,True,0.833508,0.083113,0.004605,0.0,0.029764,0.0
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_thompson_employment_lOmD.xml,stepwise,stepwise,True,0.523858,0.071507,0.006446,0.0,0.033161,0.01
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_adg_hOhD.xml,stepwise,stepwise,True,0.77119,0.03179,0.009549,0.0,0.024944,0.0
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_adg_lOlD.xml,stepwise,stepwise,True,0.598416,0.107766,0.003793,0.0,0.03798,0.01
stepwise_Negotiatior,TMFAgent,scenarios_etc_specials_adg_hOlD.xml,stepwise,stepwise,True,0.586343,0.06379,0.007536,0.0,0.061776,0.01
