self_agent,opp_agent,env_name,method_my,method_oppo,diverse,pearson_correlation,pareto_surface_diff,rmse_self,mape_self,rmse_oppo,mape_oppo
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_adg_lOhD.xml,stepwise,stepwise,True,-0.344156,0.487014,0.0,0.0,nan,nan
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_lOmD.xml,stepwise,stepwise,True,0.643549,0.021882,0.116101,0.07,0.103473,0.05
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_mOhD.xml,stepwise,stepwise,True,0.787128,0.023685,0.036552,0.02,0.114772,0.08
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_lOhD.xml,stepwise,stepwise,True,0.883889,0.036677,0.123843,0.1,0.057798,0.02
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_lOlD.xml,stepwise,stepwise,True,0.583679,0.119007,0.113651,0.19,0.075354,0.03
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_hOmD.xml,stepwise,stepwise,True,0.927833,0.043281,0.068149,0.08,0.064604,0.02
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_mOlD.xml,stepwise,stepwise,True,0.61721,0.066176,0.095337,0.2,0.095732,0.07
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_hOhD.xml,stepwise,stepwise,True,0.853957,0.030959,0.080222,0.12,0.064892,0.04
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_hOlD.xml,stepwise,stepwise,True,0.678717,0.057993,0.02664,0.05,0.072806,0.03
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_adg_lOmD.xml,stepwise,stepwise,True,0.679597,0.00803,0.053036,0.02,0.071082,0.05
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_lOhD.xml,stepwise,stepwise,True,0.767363,0.021383,0.101189,0.05,0.062122,0.02
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_adg_mOhD.xml,stepwise,stepwise,True,0.599198,0.021149,0.038739,0.01,0.053413,0.02
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_adg_hOhD.xml,stepwise,stepwise,True,0.804582,0.014317,0.040027,0.07,0.055727,0.03
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_adg_hOmD.xml,stepwise,stepwise,True,0.652537,0.05086,0.00783,0.01,0.059475,0.04
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_adg_mOmD.xml,stepwise,stepwise,True,0.749027,0.013007,0.036506,0.01,0.055999,0.03
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_adg_lOlD.xml,stepwise,stepwise,True,0.672185,0.05481,0.086263,0.08,0.069015,0.05
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_adg_mOlD.xml,stepwise,stepwise,True,0.555129,0.013775,0.039459,0.01,0.062909,0.02
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_adg_hOlD.xml,stepwise,stepwise,True,0.5927,0.079188,0.018751,0.04,0.141538,0.13
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_ItexvsCypress_domain_mOmD.xml,stepwise,stepwise,True,0.823732,0.070246,0.029455,0.03,0.083388,0.05
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_Supermarket_domain_hOhD.xml,stepwise,stepwise,True,0.700318,0.053769,0.044119,0.04,0.072789,0.04
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_travel_domain_mOlD.xml,stepwise,stepwise,True,0.737379,0.013288,0.072691,0.07,0.055831,0.04
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_hOmD.xml,stepwise,stepwise,True,0.860694,0.040915,0.046993,0.05,0.055304,0.03
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_mOlD.xml,stepwise,stepwise,True,0.603365,0.117399,0.021494,0.03,0.104199,0.08
stepwise_Negotiatior,TheFawkes,scenarios_etc_specials_thompson_employment_hOhD.xml,stepwise,stepwise,True,0.614669,0.044046,0.040133,0.02,0.067477,0.03
